,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
31,CTSH,True,53,78,4,38,0,2,81.39401512596173,0.0,76.27707565455351
43,EA,True,76,2,36,50,0,15,203.6904702164337,0.0,167.44368451791559
87,ROST,True,63,3,10,40,0,5,185.7187442103513,0.0,147.80221228458853
99,WBD,True,59,8,23,32,0,16,27.63438750127212,0.0,17.873625756687648
116,ALGN,True,71,45,6,28,0,4,161.5616788110385,0.0,193.43853620270235
128,AME,True,60,17,39,39,0,18,205.16001576313946,0.0,184.30785738571123
159,BMY,True,52,2,19,34,0,5,53.770115906173935,0.0,42.41863268771835
179,CNC,True,53,13,39,24,0,23,43.173571091434134,0.0,35.726900256330886
210,CMI,True,53,13,73,31,0,48,538.3282316173368,0.0,421.78976149434413
212,DHR,True,74,27,19,36,0,9,229.42034107674473,0.0,202.5321790666822
215,DAY,True,51,15,38,29,0,18,69.09904687766486,0.0,68.39659792155231
226,DOV,True,60,33,7,31,0,4,195.50804498475608,0.0,175.1113882821681
231,DD,True,54,12,6,30,0,2,41.57284533793285,0.0,32.05679742735702
254,EXPE,True,59,18,34,29,0,25,281.49308317184784,0.0,215.59111737138394
255,EXPD,True,51,30,31,35,0,19,154.92627200876032,0.0,120.71191068485093
262,FDX,True,55,11,34,41,0,14,297.911125493882,0.0,233.76826923130503
270,FOXA,True,55,12,8,34,0,2,72.11119969306432,0.0,59.96130705819901
271,FOX,True,55,13,7,33,0,1,64.78668816100786,0.0,54.191383801994476
290,HAS,True,57,32,18,23,0,10,82.35854044271309,0.0,78.12891077966536
306,HII,True,191,5,22,90,0,15,369.3977583145095,0.0,191.11050143902332
387,NUE,True,55,34,11,26,0,5,160.43727148128,0.0,141.78023080496658
397,PH,True,57,26,25,31,0,13,890.9281101375637,0.0,744.8612670173092
450,STLD,True,107,21,29,43,0,18,167.66629510323816,0.0,129.71267100117797
483,UPS,True,59,7,5,29,0,3,102.79637249006814,0.0,82.25657995616059
