,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1D,1W,1M,3M,6M,1Y
31,CMCSA,True,52,65,17,28,0,9,30.478523783002085,0.0,30.305370029872,30.81999969482422,-0.4521944243811405,-2.5608583225860295,5.403556552920021,25.218093461652018,0.15963748888754722,-3.25086968236386
49,HON,True,52,18,18,35,0,5,236.65755003543987,0.0,191.96688695845404,248.0399932861328,1.8268389569124466,2.5555241650003664,9.695233003903345,31.202394832987533,20.199264498514253,27.31487315661065
60,MAR,True,52,5,22,24,0,12,327.92810366810164,0.0,290.1542590949085,330.4700012207031,-3.295001727570099,-3.359840975565004,3.5458347409456303,8.684892487795477,22.80886332598367,20.339910507754308
64,MCHP,True,61,19,10,25,0,0,73.55091310626206,0.0,59.96045299241577,74.30999755859375,-0.4421246432920715,-2.9895573905278976,-5.812076333920189,42.18668546146849,15.588873136774478,33.98498357817447
75,ODFL,True,62,55,14,38,0,3,185.57071984839445,0.0,144.65491527135984,207.75,2.3146992748599713,7.153906936185082,20.371982390725798,54.29694733499532,39.31301353694673,19.726019013208365
76,PCAR,True,67,4,19,41,0,5,122.47608830499416,0.0,93.80104431848012,124.43000030517578,-1.3165168379150847,-1.2930329089212715,1.1628152202648063,20.38143609282839,25.910907857221773,20.96831233762949
87,STX,True,57,11,16,20,0,9,373.5446263039879,0.0,241.69055149004092,379.5199890136719,-6.943901426665362,-6.843398453731074,-15.014447278333948,39.75160486474186,121.43815999280636,284.3097578222724
100,WDC,True,58,10,16,30,0,10,258.0416559045986,0.0,148.34323311741954,270.0799865722656,-3.439408371439389,-3.6873355539345,-2.991996329253106,71.35610935215247,229.8534711328674,462.48139358401204
128,AME,True,91,17,39,61,0,18,227.053398719689,0.0,184.30785738568355,241.4600067138672,0.9363788486471267,4.324912463862975,6.548412283305261,23.209861259371554,29.72295156646858,29.763225488441066
144,AVY,True,60,10,19,28,0,7,190.07526645526585,0.0,169.80120212661296,194.97000122070312,-0.7028290501223423,-0.8391790954429441,5.173155726235371,13.83115519047384,15.229418525637817,7.357695256166856
145,BALL,True,53,3,21,41,0,5,64.94620391902549,0.0,47.03306419002362,66.41999816894531,-1.0576480165675952,-1.0723878868758732,17.412053256599723,34.372933656601276,28.56468500603519,29.562964329936186
148,BDX,True,75,10,19,35,0,5,172.29625661016146,0.0,144.83082659536944,176.5399932861328,0.03399680419665128,-4.231313446193522,11.67082442052854,16.44204827337096,18.69713004651766,2.345220846686665
159,BMY,True,83,2,19,52,0,5,60.134701891691776,0.0,42.41863268771834,62.34000015258789,-0.04809809172778266,1.7795920858577805,14.848934330420821,28.074544422753927,36.398579262931094,11.37622904793966
188,CIEN,True,57,13,57,25,0,42,317.0730380154406,0.0,189.59702251051962,353.7300109863281,1.442500316378093,2.5780114670128462,39.521955070199574,76.60892847551901,261.35459514951634,353.3256651545414
202,ED,True,52,10,12,25,0,5,108.23290685463078,0.0,97.7075233560011,112.05999755859375,-0.40881540899068436,-0.07134103039960638,6.5877317557962085,12.78246721609996,16.00384691113365,15.893578747816136
207,CTVA,True,77,42,12,47,0,5,76.85549453005271,0.0,71.65602105684982,80.5199966430664,0.4992434882329544,5.309962865822538,9.046588077561934,21.13335758162018,8.89631264321515,29.490790088367667
226,DOV,True,91,33,7,49,0,4,222.9255512259607,0.0,174.71049513321347,226.39999389648438,0.39911037538109756,-1.6514960425222467,12.04241396660283,22.21656425769171,25.672412434982135,16.770572211887984
231,DD,True,85,12,6,50,0,2,47.625621766527026,0.0,32.05679742735721,49.63999938964844,-0.7993635462840017,-0.8785990920898965,11.300450869862196,26.503573119409555,54.42149972516336,49.779913963751696
245,EQIX,True,52,19,11,36,0,2,855.7555449667375,0.0,775.5292690156499,966.0999755859375,-0.8375622624242308,2.7204339175229633,17.5916091353464,29.44464662043969,24.276441003719125,8.581312600196329
258,FFIV,True,65,28,28,25,0,13,257.5229253321057,0.0,323.726106332612,278.0,2.4469394925102823,3.146338428315223,-1.6033691285418368,16.6988492047072,-12.688440537350921,-4.457504610884362
262,FDX,True,86,11,34,64,0,14,371.8164872408451,0.0,233.7682691914422,387.25,0.06459948320413438,0.9225739813283732,21.04210573106261,41.11407475613872,69.38176907956402,53.32742993174436
272,BEN,True,59,34,9,31,0,1,26.447061839509924,0.0,22.02203718263198,27.0,1.733229346663405,-0.25858771929577334,4.327669534592916,21.53852903598485,8.65488709107935,44.197173910696165
273,FCX,True,64,7,3,42,0,1,63.008687599889406,0.0,39.03789906912434,68.29000091552734,0.3084592814697387,4.180011801991906,4.851840619329276,62.42029623367353,54.847230574091135,85.03486313407167
277,GEV,True,59,31,29,32,0,6,810.3539973924251,0.0,590.8173922094232,881.1799926757812,0.8676759731775073,5.949258115008081,22.831371315867884,49.533483799821916,39.215769089279455,170.7040939409434
290,HAS,True,88,32,18,40,0,10,94.06276575037009,0.0,77.59393957466875,99.05000305175781,-0.542216393201496,0.7937381045453009,10.25083592442873,20.639786587887258,23.35728548414146,57.11733041883208
300,HST,True,78,5,6,31,0,3,19.0947932337756,0.0,15.859986653266299,19.700000762939453,0.561514086241756,-0.30364101845852065,5.573424030180675,13.214984819496815,17.509941182875327,30.444612839262934
303,HUBB,True,55,16,23,32,0,10,506.8119227646021,0.0,428.2914607332493,516.97998046875,1.04567275861057,0.2696800052181619,4.099493660711751,21.38724720215809,17.014937909637588,42.24569752611688
308,IEX,True,67,4,19,43,0,4,200.09052993213385,0.0,162.25738528715615,211.5399932861328,0.9882045416368186,2.366319639040468,5.918281590819667,22.18682887400355,29.054982499572485,10.892692136884932
321,JBHT,True,67,5,29,35,0,17,217.5892763523451,0.0,163.52312180154382,232.07000732421875,-0.5740955044199562,4.503084464441052,13.31540624728054,34.102984691531496,61.92629274310973,47.65617111834287
325,JNJ,True,54,2,51,30,0,28,239.27373367979084,0.0,200.47070326277418,248.55999755859375,0.05233059076814674,1.6439046302570177,9.9394482344462,20.389948177927845,43.32739011139846,56.040664608556014
