Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Semiconductor Materials & Equipment,Information Technology,180.62,97,99,98,81,"TER,LRCX,AMAT,KLAC"
2,Electronic Components,Information Technology,163.07,96,98,96,99,"GLW,APH"
3,Construction & Engineering,Industrials,147.34,95,96,94,96,"FIX,PWR,EME,J"
4,Communications Equipment,Information Technology,143.55,94,90,90,95,"CIEN,ANET,MSI,CSCO,FFIV"
5,"Technology Hardware, Storage & Peripherals",Information Technology,135.68,93,97,95,92,"WDC,STX,DELL,AAPL,HPE,NTAP,SMCI,HPQ"
6,Oil & Gas Equipment & Services,Energy,128.23,92,89,67,26,"HAL,BKR,SLB"
7,Agricultural Products & Services,Consumer Staples,127.6,91,88,62,56,"BG,ADM"
8,Construction Machinery & Heavy Transportation Equipment,Industrials,127.03,90,93,88,65,"CAT,CMI,WAB,PCAR"
9,Oil & Gas Refining & Marketing,Energy,124.43,89,82,75,66,"VLO,MPC,PSX"
10,Integrated Oil & Gas,Energy,121.46,88,83,46,43,"XOM,CVX"
11,Broadcasting,Communication Services,121.06,87,92,97,93,"WBD,FOX,FOXA"
12,Cargo Ground Transportation,Industrials,119.61,86,87,69,5,"JBHT,ODFL"
13,Apparel Retail,Consumer Discretionary,118.99,85,71,83,58,"ROST,TJX"
14,Air Freight & Logistics,Industrials,118.4,84,94,79,33,"FDX,CHRW,EXPD,UPS"
15,Aerospace & Defense,Industrials,118.39,83,72,63,77,"HII,HWM,LHX,LMT,NOC,RTX,GE,GD,TXT,BA,TDG,AXON"
16,Steel,Materials,117.41,82,95,86,58,"STLD,NUE"
17,Semiconductors,Information Technology,116.69,81,86,89,67,"MU,INTC,AMD,MPWR,ADI,MRVL,NVDA,AVGO,ON,TXN,FSLR,MCHP,NXPI,ARM,QCOM,SWKS"
18,Oil & Gas Exploration & Production,Energy,116.07,80,58,50,25,"TPL,APA,COP,DVN,OXY,FANG,CTRA,EQT,EOG,EXE"
19,Biotechnology,Health Care,115.75,79,79,77,61,"MRNA,INSM,GILD,AMGN,REGN,BIIB,INCY,VRTX,ABBV,ALNY"
20,Specialty Chemicals,Materials,115.55,78,84,52,17,"ALB,DD,LYB,ECL,IFF,PPG,SHW"
21,Oil & Gas Storage & Transportation,Energy,115.36,77,64,34,23,"TRGP,WMB,KMI,OKE"
22,Consumer Staples Merchandise Retail,Consumer Staples,114.45,76,76,72,50,"DG,TGT,WMT,DLTR,COST"
23,Health Care Distributors,Health Care,113.03,75,73,78,45,"CAH,MCK,COR,HSIC"
24,Pharmaceuticals,Health Care,112.05,74,81,57,16,"VTRS,JNJ,MRK,BMY,LLY,PFE,ZTS"
25,Electronic Manufacturing Services,Information Technology,111.81,73,80,92,97,"JBL,TEL"
26,Automobile Manufacturers,Consumer Discretionary,111.07,72,77,91,87,"GM,TSLA,F"
27,--- Reference ---,--- Reference ---,110.17,71,31,56,44,"^VIX,QQQ,SPY"
28,Electrical Components & Equipment,Industrials,109.91,70,70,60,68,"GNRC,AME,ETN,EMR,ROK"
29,Data Center REITs,Real Estate,108.99,69,26,15,19,"EQIX,DLR"
30,Fertilizers & Agricultural Chemicals,Materials,108.59,68,49,11,47,"CF,CTVA,MOS"
31,Multi-Utilities,Utilities,107.61,67,38,41,36,"NEE,PCG,SRE,CNP,NI,XEL,PNW,ED,AEE,DTE,D,CMS"
32,Electric Utilities,Utilities,107.29,66,27,48,59,"EIX,AEP,ETR,FE,EVRG,ES,EXC,LNT,DUK,PPL,SO,WEC,CEG,PEG,VST"
33,Health Care REITs,Real Estate,107.25,65,54,59,52,"WELL,VTR,DOC"
34,Interactive Media & Services,Communication Services,107.08,64,78,87,91,"GOOGL,GOOG,META,MTCH"
35,Independent Power Producers & Energy Traders,Utilities,107.0,63,69,80,88,"AES,NRG"
36,Rail Transportation,Industrials,106.66,62,66,61,34,"CSX,NSC,UNP"
37,Tobacco,Consumer Staples,105.74,61,59,27,64,"MO,PM"
38,Integrated Telecommunication Services,Communication Services,105.61,60,53,20,60,"VZ,T"
39,Retail REITs,Real Estate,105.5,59,48,30,39,"O,SPG,KIM,REG,FRT"
40,Health Care Facilities,Health Care,105.3,58,63,85,48,"HCA,UHS"
41,Other Specialty Retail,Consumer Discretionary,104.93,57,74,71,75,"ULTA,TSCO"
42,Regional Banks,Financials,103.75,56,85,70,70,"CFG,KEY,RF,FITB,MTB,HBAN"
43,Industrial Conglomerates,Industrials,103.53,56,61,45,42,"HON,MMM"
44,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,102.52,54,62,65,74,"TPR,RL,NKE,LULU"
45,Investment Banking & Brokerage,Financials,102.17,53,68,93,98,"IBKR,GS,MS,SCHW,HOOD,RJF"
46,Passenger Airlines,Industrials,101.83,52,91,82,82,"LUV,DAL,UAL"
47,Soft Drinks & Non-alcoholic Beverages,Consumer Staples,101.69,51,60,55,21,"MNST,PEP,KO,KDP"
48,Hotel & Resort REITs,Real Estate,101.29,50,43,29,51,"HST,VICI"
49,Diversified Banks,Financials,100.69,49,75,74,80,"C,USB,PNC,TFC,JPM,BAC,WFC"
50,Industrial Machinery & Supplies & Components,Industrials,100.69,49,65,44,30,"PH,NDSN,HUBB,DOV,SNA,IEX,GWW,ITW,IR,FTV,SWK,OTIS,XYL,PNR"
51,Industrial Gases,Materials,99.96,48,29,5,29,"LIN,APD"
52,Trading Companies & Distributors,Industrials,99.83,47,55,35,89,"FAST,URI"
53,Self-Storage REITs,Real Estate,99.83,47,22,11,13,"PSA,EXR"
54,Health Care Services,Health Care,99.23,46,39,33,41,"DVA,DGX,CVS,LH,CI"
55,Multi-line Insurance,Financials,99.03,45,41,53,37,"L,AIZ,AIG"
56,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,98.75,44,56,49,84,"MAR,HLT,RCL,EXPE,CCL,ABNB,NCLH,BKNG"
57,Property & Casualty Insurance,Financials,97.97,43,32,36,31,"TRV,CB,CINF,HIG,ACGL,ALL,WRB,PGR"
58,Broadline Retail,Consumer Discretionary,97.81,42,21,54,79,"EBAY,AMZN"
59,Electronic Equipment & Instruments,Information Technology,97.31,41,23,37,46,"KEYS,TDY,TRMB,ZBRA,ROP"
60,Interactive Home Entertainment,Communication Services,96.71,40,33,73,76,"EA,TTWO"
61,Personal Care Products,Consumer Staples,96.19,39,44,43,24,"EL,PG,KVUE"
62,Restaurants,Consumer Discretionary,95.26,38,35,17,20,"SBUX,YUM,MCD,DRI,DPZ,CMG"
63,Construction Materials,Materials,94.72,37,67,66,71,"MLM,VMC,CRH"
64,Household Products,Consumer Staples,94.57,36,24,3,8,"CL,CHD,CLX,KMB"
65,Paper & Plastic Packaging Products & Materials,Materials,94.08,35,50,14,15,"PKG,SW,AVY,AMCR,IP"
66,Life & Health Insurance,Financials,94.0,34,37,51,40,"GL,PFG,AFL,PRU,MET"
67,Building Products,Industrials,93.99,33,52,25,49,"JCI,TT,AOS,ALLE,CARR,MAS,LII,BLDR"
68,Casinos & Gaming,Consumer Discretionary,93.72,32,57,81,78,"LVS,MGM,WYNN"
69,Home Improvement Retail,Consumer Discretionary,93.34,31,45,22,69,"LOW,HD"
70,Health Care Supplies,Health Care,93.19,30,42,47,4,"ALGN,COO,WST"
71,Movies & Entertainment,Communication Services,92.15,29,16,38,90,"LYV,TKO,NFLX,DIS,PSKY"
72,Environmental & Facilities Services,Industrials,92.03,28,28,26,27,"WM,RSG,ROL,VLTO"
73,Automotive Retail,Consumer Discretionary,91.78,27,51,76,94,"CVNA,ORLY,AZO"
74,Asset Management & Custody Banks,Financials,90.3,26,46,64,73,"IVZ,NTRS,BK,STT,BEN,BLK,AMP,TROW,APO,BX,KKR,ARES"
75,Telecom Tower REITs,Real Estate,89.09,25,11,16,7,"AMT,CCI,SBAC"
76,Cable & Satellite,Communication Services,88.84,24,20,0,2,"CMCSA,CHTR"
