Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Open,High,Low,Close
1,WDC,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,448.76,99,99,99,99,618.0,658.7999877929688,612.0,653.530029296875
2,MU,Information Technology,Semiconductors,S&P 500,440.81,99,99,99,99,1055.8900146484375,1097.469970703125,1051.5001220703125,1087.989990234375
3,LITE,Information Technology,Communications Equipment,S&P 500,399.56,99,99,99,99,964.0,998.5,923.9500122070312,957.239990234375
4,STX,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,368.47,99,99,99,99,1032.5169677734375,1032.5169677734375,990.780029296875,1018.7999877929688
5,INTC,Information Technology,Semiconductors,S&P 500,356.77,99,99,96,94,129.6199951171875,132.61000061035156,126.66999816894531,127.86000061035156
6,MRVL,Technology,Semiconductors,Nasdaq 100,339.07,99,97,76,55,296.7099914550781,312.9798889160156,288.0899963378906,308.8800048828125
7,AMD,Information Technology,Semiconductors,S&P 500,280.62,98,98,90,96,535.75,558.3699951171875,530.5,547.260009765625
8,DELL,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,268.69,98,96,87,56,411.3999938964844,415.9100036621094,394.1000061035156,409.07000732421875
9,ARM,Technology,Semiconductors,Nasdaq 100,264.74,98,92,49,5,389.8399963378906,416.1737060546875,369.25,412.54998779296875
10,COHR,Information Technology,Electronic Components,S&P 500,257.34,98,98,99,98,403.3500061035156,420.57000732421875,394.010009765625,413.8399963378906
11,CIEN,Information Technology,Communications Equipment,S&P 500,249.23,98,99,99,99,469.95001220703125,479.0,447.625,463.4100036621094
12,TER,Information Technology,Semiconductor Materials & Equipment,S&P 500,243.79,97,97,98,97,426.95001220703125,437.7699890136719,423.0299987792969,432.4100036621094
13,LRCX,Information Technology,Semiconductor Materials & Equipment,S&P 500,232.98,97,97,98,97,385.6300048828125,393.07000732421875,382.3901062011719,388.9200134277344
14,AMAT,Information Technology,Semiconductor Materials & Equipment,S&P 500,215.39,97,96,97,93,589.989990234375,599.52001953125,580.510009765625,585.780029296875
15,SATS,Communication Services,Wireless Telecommunication Services,S&P 500,204.01,97,98,98,99,117.19000244140625,118.87999725341797,108.9000015258789,117.86499786376953
16,ON,Information Technology,Semiconductors,S&P 500,198.32,97,97,76,50,123.48999786376953,126.15499877929688,121.27999877929688,125.9000015258789
17,HPE,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,198.05,96,93,58,79,49.474998474121094,49.599998474121094,48.099998474121094,49.02000045776367
18,GLW,Information Technology,Electronic Components,S&P 500,194.57,96,98,97,94,187.47000122070312,190.0,185.22999572753906,187.8800048828125
19,FIX,Industrials,Construction & Engineering,S&P 500,193.6,96,98,98,97,1964.0,1993.6949462890625,1932.56005859375,1952.02001953125
20,KLAC,Information Technology,Semiconductor Materials & Equipment,S&P 500,193.03,96,94,95,94,265.4200134277344,267.1698913574219,251.11000061035156,256.4200134277344
21,VRT,Industrials,Electrical Components & Equipment,S&P 500,160.85,96,97,98,90,316.0,319.79998779296875,310.3710021972656,311.92999267578125
22,MPWR,Information Technology,Semiconductors,S&P 500,160.06,95,94,91,86,1652.5550537109375,1666.6400146484375,1605.010009765625,1652.2900390625
