ticker,almost_up_cond_date,trender_up_at_almost,previous_swing_high_price,breakout_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
ACN,2026-09-08,178.4848,195.32,195.32,189.64,-27.86,-1.94,7.87,11.57,15.95,-2.57,-18.63
ADI,2026-09-01,350.5337,395.7443,395.7443,362.04,34.69,0.19,-0.83,-6.95,-12.71,16.09,49.67
APO,2026-09-16,124.2971,143.7229,143.7229,124.53,-12.89,-1.94,-4.92,-7.05,-9.69,15.33,-8.59
ARM,2026-06-24,349.4112,452.7,452.7,,,,,,,,
ARM,2026-06-29,311.0174,452.7,452.7,,,,,,,,
BAX,2026-09-01,25.3249,29.9884,29.9884,23.53,23.3,-0.76,-3.53,-9.15,15.05,33.66,-0.94
BAX,2026-09-10,24.0986,29.9884,29.9884,23.53,23.3,-0.76,-3.53,-9.15,15.05,33.66,-0.94
BAX,2026-09-11,23.7067,29.9884,29.9884,23.53,23.3,-0.76,-3.53,-9.15,15.05,33.66,-0.94
BAX,2026-09-15,23.1688,29.9884,29.9884,23.53,23.3,-0.76,-3.53,-9.15,15.05,33.66,-0.94
BF.B,2026-08-31,26.3346,29.4395,29.4395,25.74,1.41,-1.68,-1.57,-5.88,-2.45,13.11,-2.65
BF.B,2026-09-01,26.0267,29.4395,29.4395,25.74,1.41,-1.68,-1.57,-5.88,-2.45,13.11,-2.65
CPAY,2026-09-16,399.9493,427.46,427.46,402.27,33.68,-1.34,-0.94,-1.31,11.63,35.02,31.95
CRL,2026-09-14,270.925,303.31,303.31,273.41,37.06,0.19,-1.77,-4.62,47.96,77.87,79.59
CTAS,2026-09-02,197.7274,218.6021,218.6021,199.46,6.87,0.26,-0.29,0.83,13.17,3.98,0.88
ECHO,2026-05-22,122.8942,147.25,147.25,93.46,-14.02,1.48,2.34,1.03,-22.74,-16.75,29.91
ECHO,2026-06-12,106.9477,147.25,147.25,93.46,-14.02,1.48,2.34,1.03,-22.74,-16.75,29.91
ECHO,2026-07-27,86.0738,147.25,147.25,93.46,-14.02,1.48,2.34,1.03,-22.74,-16.75,29.91
