ticker,almost_up_cond_date,trender_up_at_almost,previous_swing_high_price,breakout_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
AFL,2026-03-05,110.2801,118.6894,118.6894,107.17,-2.29,-0.69,-2.24,-5.68,-1.6,-0.85,1.99
AFL,2026-03-06,109.7797,118.6894,118.6894,107.17,-2.29,-0.69,-2.24,-5.68,-1.6,-0.85,1.99
AFL,2026-03-09,109.1409,118.6894,118.6894,107.17,-2.29,-0.69,-2.24,-5.68,-1.6,-0.85,1.99
AFL,2026-03-19,106.7663,118.6894,118.6894,107.17,-2.29,-0.69,-2.24,-5.68,-1.6,-0.85,1.99
AIG,2026-03-18,74.3195,81.1414,81.1414,73.89,-13.12,-0.59,-2.82,-6.85,-12.08,-2.71,-10.1
AIG,2026-03-19,73.6959,81.1414,81.1414,73.89,-13.12,-0.59,-2.82,-6.85,-12.08,-2.71,-10.1
ALL,2026-03-12,203.3629,215.6588,215.6588,204.07,-1.46,-0.15,-0.47,-2.07,-2.1,4.47,1.34
ANET,2026-02-23,126.6259,151.8,151.8,136.26,3.99,0.14,1.66,-2.35,8.03,-4.61,62.23
APD,2026-02-13,275.1161,296.46,296.46,284.15,15.87,0.97,-2.18,0.62,18.15,-0.87,-0.03
AZO,2026-03-03,3596.6164,3887.03,3887.03,3341.5801,-1.47,-0.61,-7.54,-10.76,-2.22,-21.05,-7.54
BBY,2026-02-20,63.0471,73.42,73.42,64.19,-4.09,2.1,2.54,-4.07,-11.61,-11.6,-7.51
BBY,2026-02-23,61.7421,73.42,73.42,64.19,-4.09,2.1,2.54,-4.07,-11.61,-11.6,-7.51
BMY,2026-03-06,59.5761,62.89,62.89,58.11,9.0,-2.12,-1.42,-2.71,8.42,29.15,1.91
BMY,2026-03-12,58.4517,62.89,62.89,58.11,9.0,-2.12,-1.42,-2.71,8.42,29.15,1.91
CAH,2026-03-06,216.2219,233.6,233.6,210.92,2.89,-0.45,-3.73,-6.25,6.85,42.68,62.46
CARR,2026-03-06,58.1248,68.33,68.33,58.97,12.08,2.36,4.39,-8.33,10.82,-2.09,-11.12
CARR,2026-03-09,57.077,68.33,68.33,58.97,12.08,2.36,4.39,-8.33,10.82,-2.09,-11.12
CFG,2026-02-12,64.7563,68.79,68.79,57.05,-1.64,0.74,0.19,-12.28,-1.19,10.91,44.37
CFG,2026-02-27,60.103,68.79,68.79,57.05,-1.64,0.74,0.19,-12.28,-1.19,10.91,44.37
CI,2026-03-03,274.7225,296.1684,296.1684,264.57,-3.34,-0.02,-0.49,-8.3,-3.65,-9.8,-16.21
COST,2026-03-06,970.2565,1028.4399,1028.4399,974.78,13.19,-0.52,-2.84,-2.14,13.45,1.5,9.14
CTAS,2026-03-19,180.9067,209.08,209.08,181.83,-3.1,-1.95,-5.91,-7.42,-2.86,-8.65,-5.18
CTVA,2026-03-05,76.4073,80.905,80.905,78.07,16.73,-1.6,-2.11,2.16,19.5,11.06,28.02
CTVA,2026-03-06,75.8463,80.905,80.905,78.07,16.73,-1.6,-2.11,2.16,19.5,11.06,28.02
D,2026-03-19,60.9784,66.8575,66.8575,61.02,5.26,-1.9,-2.9,-4.71,3.93,4.64,16.57
DAL,2026-03-02,62.5795,76.183,76.183,65.01,-6.07,1.88,12.2,-8.33,-8.37,11.16,43.31
DAL,2026-03-05,60.368,76.183,76.183,65.01,-6.07,1.88,12.2,-8.33,-8.37,11.16,43.31
DAL,2026-03-06,58.8245,76.183,76.183,65.01,-6.07,1.88,12.2,-8.33,-8.37,11.16,43.31
DAL,2026-03-09,57.4467,76.183,76.183,65.01,-6.07,1.88,12.2,-8.33,-8.37,11.16,43.31
DHI,2026-02-25,155.8458,169.17,169.17,137.98,-3.93,0.53,-0.76,-17.5,-10.8,-18.34,9.2
DHI,2026-03-03,149.0845,169.17,169.17,137.98,-3.93,0.53,-0.76,-17.5,-10.8,-18.34,9.2
DHI,2026-03-09,142.1957,169.17,169.17,137.98,-3.93,0.53,-0.76,-17.5,-10.8,-18.34,9.2
DUK,2026-03-19,129.244,134.49,134.49,129.74,11.63,-0.77,-1.58,3.59,13.2,8.99,11.24
DVA,2026-03-13,146.8105,159.42,159.42,149.76,31.82,0.62,-2.16,1.36,26.98,17.0,0.26
EQIX,2026-03-09,920.4643,987.5178,987.5178,974.76,27.92,0.12,0.34,6.04,29.27,26.61,18.56
EQT,2026-03-17,61.7856,65.34,65.34,64.68,21.01,1.83,0.06,10.32,21.65,30.14,24.52
ESS,2026-02-12,250.7189,266.49,266.49,246.28,-4.95,-0.17,-2.03,-3.86,-2.63,-5.67,-14.49
ETR,2026-03-19,102.3872,107.93,107.93,103.94,13.19,-0.31,-0.55,1.51,12.73,19.44,27.92
FCX,2026-03-03,63.0087,69.75,69.75,53.62,5.84,-3.3,-9.44,-14.28,13.07,19.64,36.46
FCX,2026-03-06,58.87,69.75,69.75,53.62,5.84,-3.3,-9.44,-14.28,13.07,19.64,36.46
FCX,2026-03-09,57.0805,69.75,69.75,53.62,5.84,-3.3,-9.44,-14.28,13.07,19.64,36.46
FCX,2026-03-19,51.513,69.75,69.75,53.62,5.84,-3.3,-9.44,-14.28,13.07,19.64,36.46
FIX,2026-03-05,1309.3098,1499.2212,1499.2212,1444.6,54.87,1.52,5.16,9.54,49.24,89.57,326.96
FIX,2026-03-09,1238.2171,1499.2212,1499.2212,1444.6,54.87,1.52,5.16,9.54,49.24,89.57,326.96
FRT,2026-03-09,105.6098,110.89,110.89,106.29,6.64,0.7,0.89,0.8,7.37,9.48,14.34
FTV,2026-03-06,55.9914,62.3518,62.3518,55.55,0.73,1.29,1.31,-4.66,1.74,15.91,-0.44
FTV,2026-03-12,54.2549,62.3518,62.3518,55.55,0.73,1.29,1.31,-4.66,1.74,15.91,-0.44
GD,2026-01-28,345.059,369.7,369.7,349.63,4.28,-1.06,-1.58,0.04,4.02,8.4,33.21
GD,2026-03-19,345.4354,369.7,369.7,349.63,4.28,-1.06,-1.58,0.04,4.02,8.4,33.21
GILD,2026-03-18,140.1717,156.4018,156.4018,141.11,15.62,-0.13,-2.27,-7.09,19.47,27.25,31.42
GL,2026-03-06,139.7963,152.71,152.71,137.71,-1.34,0.07,-0.76,-4.1,-1.96,-3.19,9.35
GL,2026-03-09,138.455,152.71,152.71,137.71,-1.34,0.07,-0.76,-4.1,-1.96,-3.19,9.35
GM,2026-02-23,78.3623,87.413,87.413,73.79,-9.04,0.35,0.46,-11.6,-9.53,26.19,53.16
GM,2026-02-27,78.0848,87.413,87.413,73.79,-9.04,0.35,0.46,-11.6,-9.53,26.19,53.16
GM,2026-03-02,77.1986,87.413,87.413,73.79,-9.04,0.35,0.46,-11.6,-9.53,26.19,53.16
GM,2026-03-03,75.7088,87.413,87.413,73.79,-9.04,0.35,0.46,-11.6,-9.53,26.19,53.16
GM,2026-03-06,73.8613,87.413,87.413,73.79,-9.04,0.35,0.46,-11.6,-9.53,26.19,53.16
GM,2026-03-09,72.964,87.413,87.413,73.79,-9.04,0.35,0.46,-11.6,-9.53,26.19,53.16
GWW,2026-03-09,1091.9016,1218.63,1218.63,1043.05,3.56,-0.26,-3.62,-8.02,2.24,4.97,7.95
GWW,2026-03-13,1066.0748,1218.63,1218.63,1043.05,3.56,-0.26,-3.62,-8.02,2.24,4.97,7.95
GWW,2026-03-16,1057.5266,1218.63,1218.63,1043.05,3.56,-0.26,-3.62,-8.02,2.24,4.97,7.95
HAS,2026-03-06,93.0357,106.2475,106.2475,91.36,12.18,-0.29,-3.94,-9.7,14.4,25.6,57.83
HAS,2026-03-09,91.7231,106.2475,106.2475,91.36,12.18,-0.29,-3.94,-9.7,14.4,25.6,57.83
HLT,2026-03-06,292.0818,333.7024,333.7024,297.83,3.73,1.11,1.21,-5.67,4.25,11.91,31.46
HON,2026-03-09,230.9052,248.18,248.18,229.03,17.98,-0.39,-1.87,-4.55,16.09,16.06,18.34
HSIC,2026-03-19,72.1683,89.29,89.29,72.68,-3.84,-0.6,-3.05,-6.86,-5.67,7.88,0.94
HST,2026-03-09,18.5536,21.0,21.0,19.1,7.73,0.16,2.14,-5.73,6.47,12.44,34.28
IBKR,2026-02-05,68.9865,78.7155,78.7155,67.69,5.37,-1.11,1.15,-9.53,7.46,8.83,57.59
IBKR,2026-03-09,63.8104,79.095,79.095,67.69,5.37,-1.11,1.15,-9.53,7.46,8.83,57.59
JBL,2026-03-09,235.6857,281.37,281.37,265.31,16.39,2.57,5.22,1.83,24.86,24.27,95.93
JBL,2026-03-18,239.311,281.37,281.37,265.31,16.39,2.57,5.22,1.83,24.86,24.27,95.93
JNJ,2026-03-05,238.9669,251.71,251.71,237.6,15.42,0.13,-1.83,-2.5,14.12,35.65,48.69
LH,2026-02-17,267.5272,291.289,291.289,264.09,5.53,-0.66,0.45,-5.02,2.57,-3.84,11.37
LH,2026-03-09,265.0903,291.289,291.289,264.09,5.53,-0.66,0.45,-5.02,2.57,-3.84,11.37
LNT,2026-03-19,70.6918,73.41,73.41,71.32,10.6,-0.61,-0.35,2.57,10.17,13.44,16.21
MAR,2026-03-06,319.3706,369.2865,369.2865,324.89,4.92,0.73,2.71,-8.56,6.39,24.51,36.43
MAR,2026-03-09,312.748,369.2865,369.2865,324.89,4.92,0.73,2.71,-8.56,6.39,24.51,36.43
MCK,2026-03-05,922.2787,999.0,999.0,898.95,9.68,-2.33,-4.81,-4.99,11.08,30.09,36.41
MCK,2026-03-06,916.5256,999.0,999.0,898.95,9.68,-2.33,-4.81,-4.99,11.08,30.09,36.41
MET,2026-02-05,75.1475,83.2534,83.2534,68.61,-12.46,0.01,-0.26,-13.39,-16.02,-11.54,-13.46
MET,2026-02-27,71.7939,83.2534,83.2534,68.61,-12.46,0.01,-0.26,-13.39,-16.02,-11.54,-13.46
MRVL,2026-02-03,75.2423,102.6961,102.6961,89.53,5.43,2.18,2.12,13.2,6.57,26.31,31.56
MRVL,2026-02-04,73.3143,102.6961,102.6961,89.53,5.43,2.18,2.12,13.2,6.57,26.31,31.56
MRVL,2026-02-05,71.6356,102.6961,102.6961,89.53,5.43,2.18,2.12,13.2,6.57,26.31,31.56
NCLH,2026-03-02,21.7109,25.1,25.1,19.64,-12.01,-0.81,0.92,-19.34,-8.82,-22.62,2.99
NTRS,2026-02-12,142.0693,156.7214,156.7214,135.78,-0.04,0.67,-1.11,-7.44,-1.25,6.11,41.64
NTRS,2026-02-23,137.9956,156.7214,156.7214,135.78,-0.04,0.67,-1.11,-7.44,-1.25,6.11,41.64
NTRS,2026-03-06,136.1949,156.7214,156.7214,135.78,-0.04,0.67,-1.11,-7.44,-1.25,6.11,41.64
NTRS,2026-03-09,134.2459,156.7214,156.7214,135.78,-0.04,0.67,-1.11,-7.44,-1.25,6.11,41.64
NUE,2026-02-13,181.3309,196.9,196.9,161.95,-0.71,0.49,-2.25,-12.24,0.15,14.26,26.79
NUE,2026-03-09,165.5437,196.9,196.9,161.95,-0.71,0.49,-2.25,-12.24,0.15,14.26,26.79
NUE,2026-03-19,157.0949,196.9,196.9,161.95,-0.71,0.49,-2.25,-12.24,0.15,14.26,26.79
PCAR,2026-03-09,117.283,131.5375,131.5375,112.85,3.32,-1.6,-3.4,-9.84,2.16,13.99,15.5
PCG,2026-03-05,18.1249,19.16,19.16,18.19,13.19,0.11,0.66,1.73,19.49,21.12,6.61
PEG,2026-03-03,82.3247,86.9314,86.9314,82.78,3.92,-1.7,0.38,-1.08,4.4,4.58,3.99
RCL,2026-03-02,292.7417,354.5014,354.5014,272.0,-1.96,0.92,2.07,-14.23,-2.53,-14.81,35.71
RCL,2026-03-06,270.4017,354.5014,354.5014,272.0,-1.96,0.92,2.07,-14.23,-2.53,-14.81,35.71
RCL,2026-03-09,263.126,354.5014,354.5014,272.0,-1.96,0.92,2.07,-14.23,-2.53,-14.81,35.71
REG,2026-03-09,76.1511,79.1282,79.1282,76.69,12.18,0.38,0.18,2.27,15.3,12.26,11.82
REG,2026-03-11,75.6749,79.1282,79.1282,76.69,12.18,0.38,0.18,2.27,15.3,12.26,11.82
REGN,2026-01-13,744.8827,820.1234,820.1234,737.45,-4.34,-0.9,-1.23,-6.79,-1.07,26.26,11.51
REGN,2026-03-19,728.5025,820.1234,820.1234,737.45,-4.34,-0.9,-1.23,-6.79,-1.07,26.26,11.51
RF,2026-02-12,29.3498,30.8732,30.8732,25.21,-6.08,0.04,-0.43,-15.33,-7.48,-4.49,22.34
RL,2026-03-02,351.1373,389.15,389.15,340.21,-3.79,-0.41,1.53,-10.02,-7.65,11.75,56.72
