ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price
A,2011-11-21,2012-01-18,2012-01-19,26.2444,22.1393,-15.64%,34.4546,22.1393,PENDING,,
A,2013-10-23,2013-11-15,2013-11-18,35.1661,32.582,-7.35%,40.3342,32.582,PENDING,,
A,2013-11-07,2013-11-15,2013-11-18,35.1661,32.2748,-8.22%,40.9487,32.2748,PENDING,,
A,2023-08-16,2023-12-13,2023-12-14,132.7745,118.6694,-10.62%,160.9849,118.6694,PENDING,,
A,2023-09-06,2023-12-13,2023-12-14,132.7745,114.7288,-13.59%,168.866,114.7288,PENDING,,
AAPL,2020-10-30,2021-01-22,2021-01-25,139.1416,104.7217,-24.74%,207.9814,104.7217,PENDING,,
ABT,2009-08-06,2009-09-28,2009-09-29,16.3465,14.5241,-11.15%,19.9913,14.5241,PENDING,,
ABT,2018-12-20,2019-02-12,2019-02-13,66.366,59.4709,-10.39%,80.1563,59.4709,PENDING,,
ABT,2020-09-24,2020-11-06,2020-11-09,101.6302,91.0717,-10.39%,122.7472,91.0717,PENDING,,
ABT,2020-09-25,2020-11-06,2020-11-09,101.6302,90.9607,-10.50%,122.9693,90.9607,PENDING,,
ABT,2024-12-13,2025-01-23,2025-01-24,120.3321,110.0779,-8.52%,140.8405,110.0779,PENDING,,
ABT,2024-12-19,2025-01-23,2025-01-24,120.3321,108.6994,-9.67%,143.5975,108.6994,PENDING,,
ACGL,2006-06-12,2006-09-21,2006-09-22,6.6658,5.957,-10.63%,8.0833,5.957,PENDING,,
ACGL,2011-06-15,2011-10-21,2011-10-24,11.4108,10.2798,-9.91%,13.6727,10.2798,PENDING,,
ACGL,2011-06-23,2011-10-21,2011-10-24,11.4108,10.1137,-11.37%,14.005,10.1137,PENDING,,
ACGL,2011-06-24,2011-10-21,2011-10-24,11.4108,10.0433,-11.98%,14.1458,10.0433,PENDING,,
ACGL,2011-07-19,2011-10-21,2011-10-24,11.4108,10.1374,-11.16%,13.9576,10.1374,PENDING,,
ACGL,2020-09-18,2020-11-09,2020-11-10,32.8726,28.0243,-14.75%,42.5691,28.0243,PENDING,,
ACN,2013-12-04,2013-12-19,2013-12-20,64.957,61.5322,-5.27%,71.8066,61.5322,PENDING,,
ACN,2015-11-13,2016-03-24,2016-03-28,97.7023,87.981,-9.95%,117.1447,87.981,PENDING,,
ADBE,2006-08-29,2006-09-15,2006-09-18,36.23,31.5418,-12.94%,45.6064,31.5418,PENDING,,
ADBE,2007-01-19,2007-03-21,2007-03-22,42.88,37.6354,-12.23%,53.3691,37.6354,PENDING,,
ADI,2009-07-08,2009-07-22,2009-07-23,18.1803,15.9171,-12.45%,22.7066,15.9171,PENDING,,
ADI,2023-08-16,2023-12-14,2023-12-15,194.7401,169.0999,-13.17%,246.0207,169.0999,PENDING,,
ADI,2023-08-17,2023-12-14,2023-12-15,194.7401,167.2224,-14.13%,249.7756,167.2224,PENDING,,
ADI,2023-08-23,2023-12-14,2023-12-15,194.7401,164.0313,-15.77%,256.1578,164.0313,PENDING,,
ADI,2023-09-26,2023-12-14,2023-12-15,194.7401,164.6092,-15.47%,255.002,164.6092,PENDING,,
ADI,2023-10-03,2023-12-14,2023-12-15,194.7401,163.7033,-15.94%,256.8139,163.7033,PENDING,,
ADI,2023-10-20,2023-12-14,2023-12-15,194.7401,159.8017,-17.94%,264.6171,159.8017,PENDING,,
