ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
ABNB,2026-01-14,2026-04-17,2026-04-20,141.0,132.7253,-5.87%,157.5494,132.7253,PENDING,,,144.18,6.23,1.07,4.85,8.74,7.93,13.34,29.18
ADI,2026-03-03,2026-04-17,2026-04-20,373.02,337.955,-9.40%,443.1499,337.955,PENDING,,,381.42,41.08,1.64,9.62,22.18,25.46,55.94,121.29
ADM,2026-02-03,2026-03-02,2026-03-03,68.44,64.39,-5.92%,76.54,64.39,PENDING,,,69.43,21.68,-0.57,3.7,2.12,3.33,11.64,49.47
AEP,2025-12-02,2026-02-12,2026-02-13,127.32,117.8898,-7.41%,146.1804,117.8898,PENDING,,,131.62,15.05,-0.2,-2.06,2.89,11.5,13.48,28.88
AES,2025-12-17,2026-01-02,2026-01-05,14.7948,13.2368,-10.53%,17.9108,13.2368,PENDING,,,14.45,1.96,0.07,0.0,2.63,2.68,2.83,55.88
ALGN,2026-01-29,2026-02-05,2026-02-06,177.89,160.8126,-9.60%,212.0447,160.8126,PENDING,,,196.05,25.55,0.44,5.1,8.4,15.36,45.3,13.84
ALL,2026-03-12,2026-04-15,2026-04-16,217.12,203.3629,-6.34%,244.6342,203.3629,PENDING,,,214.16,3.41,-1.01,-1.87,3.08,11.15,11.59,16.81
ANET,2026-02-23,2026-04-13,2026-04-14,153.99,126.6259,-17.77%,208.7182,126.6259,PENDING,,,177.73,35.64,2.82,15.16,30.8,39.63,21.33,162.64
APD,2026-02-13,2026-04-08,2026-04-09,295.0,273.4019,-7.32%,338.1962,273.4019,PENDING,,,296.76,21.77,0.67,0.53,7.16,13.5,18.33,18.3
CAT,2026-03-03,2026-04-10,2026-04-13,786.9218,708.6633,-9.94%,943.4389,708.6633,PENDING,,,808.87,41.8,1.05,5.22,15.49,25.57,52.92,187.15
CB,2026-01-05,2026-02-04,2026-02-05,329.0287,306.2862,-6.91%,374.5136,306.2862,PENDING,,,325.43,4.57,-1.17,-0.56,-0.29,8.8,21.7,17.05
CMS,2026-01-05,2026-02-13,2026-02-17,76.58,68.151,-11.01%,93.438,68.151,PENDING,,,74.98,8.02,-0.79,-3.23,0.48,5.37,1.36,7.14
CTVA,2026-03-05,2026-03-25,2026-03-26,81.74,76.4073,-6.52%,92.4053,76.4073,PENDING,,,79.35,18.65,-1.24,-2.42,2.04,11.26,28.66,35.53
DELL,2026-03-31,2026-04-13,2026-04-14,184.9777,156.4635,-15.41%,242.0059,156.4635,PENDING,,,214.65,71.8,1.08,21.45,30.82,90.11,46.77,166.19
DOV,2026-01-29,2026-02-03,2026-02-04,212.3727,198.9618,-6.31%,239.1945,198.9618,PENDING,,,216.17,10.97,-1.87,0.33,1.83,3.89,28.62,38.29
DOW,2026-02-20,2026-03-11,2026-03-12,35.75,29.1792,-18.38%,48.8916,29.1792,PENDING,,,38.81,67.96,1.31,-0.08,7.69,38.22,84.25,47.36
ED,2026-01-05,2026-01-16,2026-01-20,103.1993,96.2617,-6.72%,117.0744,96.2617,PENDING,,,108.13,9.73,-0.06,-1.95,-0.9,4.95,8.03,0.7
EIX,2026-03-20,2026-04-09,2026-04-10,75.81,68.2651,-9.95%,90.8998,68.2651,PENDING,,,69.38,18.71,-0.5,-2.76,-0.64,16.22,23.59,31.7
EQIX,2026-03-09,2026-04-01,2026-04-02,989.8,920.4643,-7.01%,1128.4714,920.4643,PENDING,,,1102.28,44.65,0.73,4.68,13.99,39.32,35.13,45.87
ETN,2025-12-12,2026-02-11,2026-02-12,398.7566,329.4281,-17.39%,537.4135,329.4281,PENDING,,,413.87,30.34,1.02,4.76,15.05,22.84,10.22,61.47
ETR,2026-03-19,2026-03-27,2026-03-30,111.54,102.3872,-8.21%,129.8456,102.3872,PENDING,,,110.47,20.3,-0.69,-3.9,9.01,16.16,15.75,40.98
FCX,2026-03-03,2026-04-17,2026-04-20,69.54,62.8703,-9.59%,82.8795,62.8703,PENDING,,,70.36,39.18,4.13,2.42,28.35,16.4,67.55,116.02
FFIV,2026-03-27,2026-04-06,2026-04-07,307.2,279.9498,-8.87%,361.7005,279.9498,PENDING,,,311.18,21.91,-1.39,4.04,7.4,18.98,4.95,24.07
FIX,2026-03-05,2026-04-08,2026-04-09,1531.51,1309.3098,-14.51%,1975.9104,1309.3098,PENDING,,,1724.49,84.87,3.01,4.58,22.46,50.29,106.33,426.97
