ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price,current_price,YTD%,1D%,1W%,1M%,3M%,6M%,1Y%
ADM,2025-11-04,2026-01-14,2026-01-15,63.9381,56.9357,-10.95%,77.9427,56.9357,PENDING,,,68.64,20.29,-3.15,-5.32,1.66,19.28,14.16,49.04
AEE,2025-10-28,2026-02-11,2026-02-12,107.7183,101.8496,-5.45%,119.4556,101.8496,PENDING,,,109.56,10.46,-1.07,-0.4,1.84,12.57,12.25,12.9
AEP,2025-12-02,2026-02-12,2026-02-13,127.32,117.8898,-7.41%,146.1804,117.8898,PENDING,,,128.72,12.51,-1.72,-2.65,1.14,13.24,21.62,25.5
AES,2025-10-31,2026-02-03,2026-02-04,15.88,13.4826,-15.10%,20.6748,13.4826,PENDING,,,14.15,-0.16,-0.21,-0.49,-13.14,5.12,15.9,15.79
ALGN,2026-01-29,2026-02-05,2026-02-06,177.89,160.8126,-9.60%,212.0447,160.8126,PENDING,,,176.25,12.87,2.23,5.59,-7.64,8.2,36.16,7.12
CB,2026-01-05,2026-02-04,2026-02-05,329.0287,306.2862,-6.91%,374.5136,306.2862,PENDING,,,323.64,4.0,-1.32,-1.51,-1.43,4.36,19.23,10.16
CMCSA,2026-01-29,2026-01-30,2026-02-02,29.62,27.8685,-5.91%,33.1231,27.8685,PENDING,,,28.98,4.66,1.44,-3.91,-8.29,5.23,-2.51,-10.59
CMS,2026-01-05,2026-02-13,2026-02-17,76.58,68.151,-11.01%,93.438,68.151,PENDING,,,77.45,11.58,-0.04,0.87,3.12,11.61,11.71,8.56
DOV,2026-01-29,2026-02-03,2026-02-04,212.3727,198.9618,-6.31%,239.1945,198.9618,PENDING,,,211.49,8.57,-0.35,3.77,-8.66,7.82,23.98,18.26
DOW,2026-02-20,2026-03-11,2026-03-12,35.75,29.1792,-18.38%,48.8916,29.1792,PENDING,,,37.49,62.25,-0.53,-0.24,20.12,66.09,56.88,6.43
ED,2026-01-05,2026-01-16,2026-01-20,103.1993,96.2617,-6.72%,117.0744,96.2617,PENDING,,,111.69,13.34,-1.62,-1.27,0.07,13.82,17.74,7.06
EVRG,2025-11-03,2026-02-10,2026-02-11,78.0718,74.7565,-4.25%,84.7025,74.7565,PENDING,,,81.06,12.77,-0.59,-0.83,1.67,11.55,14.97,25.36
EXC,2025-10-29,2026-02-13,2026-02-17,48.4253,46.2721,-4.45%,52.7319,46.2721,PENDING,,,48.01,11.08,-2.52,-2.97,2.5,10.65,12.99,11.93
GEV,2025-10-22,2025-12-10,2025-12-11,710.1974,551.3709,-22.36%,1027.8502,551.3709,PENDING,,,877.39,34.43,2.2,5.51,7.38,28.03,42.96,175.92
HSY,2026-01-23,2026-02-04,2026-02-05,217.4223,188.0843,-13.49%,276.0984,188.0843,PENDING,,,210.58,16.48,-1.01,-2.28,-5.16,12.66,11.78,28.11
IRM,2025-11-05,2026-02-13,2026-02-17,110.0825,97.9786,-11.00%,134.2904,97.9786,PENDING,,,104.94,27.54,-0.76,-1.48,-0.03,30.61,7.46,23.96
KLAC,2025-11-20,2026-01-05,2026-01-06,1367.5331,1096.6408,-19.81%,1909.3176,1096.6408,PENDING,,,1511.52,24.56,1.97,7.23,2.11,23.71,53.15,114.5
LHX,2025-11-24,2026-01-05,2026-01-06,310.5981,272.6801,-12.21%,386.4341,272.6801,PENDING,,,363.7,24.32,-1.27,1.63,3.65,29.03,30.02,74.14
MCD,2026-01-02,2026-02-04,2026-02-05,323.2741,300.9971,-6.89%,367.8282,300.9971,PENDING,,,309.58,1.86,-1.95,-4.42,-5.06,-1.01,2.69,4.33
MNST,2025-12-11,2025-12-22,2025-12-23,77.82,72.2784,-7.12%,88.9031,72.2784,PENDING,,,73.74,-3.82,-0.47,-4.22,-11.35,-2.12,10.85,29.82
MRNA,2026-02-11,2026-03-04,2026-03-05,56.955,36.6574,-35.64%,97.5502,36.6574,PENDING,,,52.37,77.59,-0.06,-1.91,12.38,75.21,109.48,54.89
NEE,2025-11-21,2026-01-27,2026-01-28,87.1259,81.6292,-6.31%,98.1193,81.6292,PENDING,,,92.41,15.89,1.59,0.74,2.0,14.41,33.22,34.59
NEM,2025-10-27,2025-12-11,2025-12-12,101.9237,77.2923,-24.17%,151.1866,77.2923,PENDING,,,99.2,-0.45,-6.89,-13.35,-20.28,1.4,26.69,110.19
NOC,2026-02-25,2026-03-02,2026-03-03,768.85,692.8451,-9.89%,920.8597,692.8451,PENDING,,,714.15,25.64,-1.47,-3.01,-1.16,25.97,24.65,48.14
PFE,2026-02-03,2026-02-06,2026-02-09,27.18,25.3501,-6.73%,30.8398,25.3501,PENDING,,,27.41,11.92,0.33,2.05,0.15,9.16,17.92,11.74
PPL,2025-10-29,2026-02-24,2026-02-25,37.7769,35.8358,-5.14%,41.659,35.8358,PENDING,,,37.65,8.32,-1.05,-1.1,3.05,11.63,7.39,11.57
Q,2025-12-15,2026-02-10,2026-02-11,110.5491,76.4433,-30.85%,178.7606,76.4433,PENDING,,,111.94,37.19,-1.79,4.58,-2.81,42.69,,
RTX,2026-02-25,2026-03-02,2026-03-03,213.01,193.7801,-9.03%,251.4698,193.7801,PENDING,,,200.73,9.81,-1.87,-1.14,-1.67,11.93,27.72,53.83
SLB,2025-12-16,2026-01-05,2026-01-06,44.0204,37.3466,-15.16%,57.3681,37.3466,PENDING,,,47.82,25.33,5.52,7.32,-7.31,27.9,39.36,19.82
SRE,2025-11-03,2026-02-26,2026-02-27,96.18,89.7176,-6.72%,109.1048,89.7176,PENDING,,,95.25,7.88,0.22,2.21,3.84,8.35,16.92,39.04
TPR,2026-01-20,2026-02-05,2026-02-06,145.0411,127.958,-11.78%,179.2074,127.958,PENDING,,,142.8,12.06,1.79,0.09,-7.62,16.32,30.76,104.13
TSN,2026-01-05,2026-01-20,2026-01-21,60.6399,56.3948,-7.00%,69.1301,56.3948,PENDING,,,59.12,1.67,-3.43,-3.13,-6.82,2.42,11.1,1.16
TT,2025-12-12,2026-02-09,2026-02-10,459.4517,389.3621,-15.26%,599.6311,389.3621,PENDING,,,423.03,8.95,-0.86,0.29,-7.7,7.09,6.29,23.8
ULTA,2025-10-29,2025-12-05,2025-12-08,611.84,502.1891,-17.92%,831.1419,502.1891,PENDING,,,534.1,-11.72,2.58,-14.5,-22.53,-9.36,1.0,55.34
UNP,2025-10-23,2025-12-12,2025-12-15,238.7523,217.5285,-8.89%,281.1999,217.5285,PENDING,,,234.18,1.77,-1.01,-4.06,-11.17,-0.2,9.03,1.1
VTR,2026-03-05,2026-03-17,2026-03-18,87.94,84.299,-4.14%,95.222,84.299,PENDING,,,85.55,10.56,-2.04,-0.75,-0.22,10.0,28.71,28.99
XEL,2025-10-29,2026-02-23,2026-02-24,82.7087,77.8184,-5.91%,92.4893,77.8184,PENDING,,,79.53,8.47,-0.61,-0.87,0.55,9.5,12.06,16.74
ZBH,2026-01-13,2026-02-18,2026-02-19,98.25,88.2677,-10.16%,118.2146,88.2677,PENDING,,,89.84,-0.09,0.85,-2.97,-8.56,-0.91,-9.63,-19.62
