,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
31,CTSH,True,53,78,4,38,0,2,81.39401512596174,0.0,76.27707565996063
35,CSGP,False,108,47,24,0,33,0,0.0,91.26566967368528,0.0
43,EA,True,76,2,36,50,0,15,203.69047021643223,0.0,167.44368452813342
72,NFLX,False,58,10,19,0,4,0,0.0,117.75870061128927,0.0
81,PYPL,False,65,5,48,0,3,0,0.0,69.0784075452633,0.0
86,ROP,False,57,11,26,0,1,0,0.0,496.6031063239605,0.0
87,ROST,True,63,3,10,40,0,5,185.71874421035125,0.0,147.80221228459794
92,TMUS,False,98,25,8,0,12,0,0.0,249.1785990740197,0.0
96,TRI,False,53,10,49,0,8,0,0.0,155.98075404197382,0.0
99,WBD,True,59,8,23,32,0,16,27.63438750127212,0.0,17.873625756687648
116,ALGN,True,71,45,6,28,0,4,161.5616788110385,0.0,193.43853620270235
117,ALLE,False,57,2,7,0,0,0,0.0,172.68862893353173,0.0
128,AME,True,60,17,39,39,0,18,205.16001576313948,0.0,184.30785738571126
140,T,False,78,33,19,0,11,0,0.0,27.763073964728797,0.0
159,BMY,True,52,2,19,34,0,5,53.77011590617395,0.0,42.41863268771835
179,CNC,True,53,13,39,24,0,23,43.173571091434134,0.0,35.726900256330886
210,CMI,True,53,13,73,31,0,48,538.3282316173368,0.0,421.7897614943441
212,DHR,True,74,27,19,36,0,9,229.42034107674482,0.0,202.5321790672333
214,DVA,False,52,2,58,0,0,0,0.0,125.34466659684325,0.0
215,DAY,True,51,15,38,29,0,18,69.09904687766486,0.0,68.39659792155231
226,DOV,True,60,33,7,31,0,4,195.5080449847561,0.0,175.11138828216812
231,DD,True,54,12,6,30,0,2,41.57284533793284,0.0,32.05679742735722
232,ETN,False,58,30,25,0,10,0,0.0,361.61192898748055,0.0
254,EXPE,True,59,18,34,29,0,25,281.49308317184835,0.0,215.59111739521884
255,EXPD,True,51,30,31,35,0,19,154.92627200876032,0.0,120.71191068487238
262,FDX,True,55,11,34,41,0,14,297.91112549387975,0.0,233.76826919140913
270,FOXA,True,55,12,8,34,0,2,72.11119969306432,0.0,59.96130705819901
271,FOX,True,55,13,7,33,0,1,64.78668816100785,0.0,54.19138380199447
290,HAS,True,57,32,18,23,0,10,82.35854044271308,0.0,78.12891082460793
306,HII,True,191,5,22,90,0,15,369.39775831450936,0.0,191.11049513813683
387,NUE,True,55,34,11,26,0,5,160.4360762258821,0.0,141.7802208972007
397,PH,True,57,26,25,31,0,13,890.9197686661986,0.0,744.8612412215393
398,PAYC,False,115,7,29,0,4,0,0.0,227.28279824290777,0.0
450,STLD,True,107,21,29,43,0,18,167.66629510327633,0.0,129.7126628526882
453,SMCI,False,57,31,24,0,17,0,0.0,50.61009488497797,0.0
469,TSCO,False,93,61,10,0,36,0,0.0,60.32106537897581,0.0
475,TYL,False,108,8,15,0,4,0,0.0,565.3071000048424,0.0
483,UPS,True,59,7,5,29,0,3,102.79718513111435,0.0,82.25657995880552
495,VST,False,60,28,13,0,9,0,0.0,195.6227158633362,0.0
