,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1M,3M,6M,1Y
16,ARM,False,52,24,3,0,14,0,0.0,159.74462063407955,0.0,107.16999816894531,-6.467100317414236,-35.28772551538377,-33.81299445351681,-27.352226772574852
30,CTSH,True,56,78,4,41,0,2,81.55495862799123,0.0,76.27707565455356,82.20999908447266,-1.6979531454992092,24.95408192788297,9.96677757816158,7.890188481411185
34,CSGP,False,111,47,24,0,33,0,0.0,91.26566967368528,0.0,63.81999969482422,-1.5579239668425557,-13.745098611396536,-24.926481483259803,-13.075454526749954
42,EA,True,79,2,36,51,0,15,203.70824574142725,0.0,167.4436845179154,204.0,0.18169970452067186,1.9425313290412682,33.265790079634456,44.96234914284772
66,MSFT,False,52,36,13,0,19,0,0.0,515.4015635556598,0.0,454.5199890136719,-4.53667275582476,-11.334038436076877,-10.575372842005102,7.841372645875048
71,NFLX,False,61,10,19,0,4,0,0.0,117.75870061128927,0.0,87.26000213623047,-7.943874571757075,-27.24452682085038,-29.245015548369945,3.5886874438009504
80,PYPL,False,68,5,48,0,3,0,0.0,69.0784075452633,0.0,55.08000183105469,-8.47457369268652,-18.10217050440002,-26.213138360266754,-37.91348000922941
85,ROP,False,60,11,26,0,1,0,0.0,496.60310461339816,0.0,403.760009765625,-10.537075423439713,-19.807514876974704,-26.571537097268678,-21.70506550829244
86,ROST,True,66,3,10,43,0,5,187.23939159601375,0.0,147.80221228458947,189.69000244140625,3.803215902005745,21.63145412781517,42.24107146228436,28.72138591190303
91,TMUS,False,101,25,8,0,12,0,0.0,249.1785990740195,0.0,183.64999389648438,-7.889462634717854,-19.522151310059233,-20.380729755184202,-13.55028353675333
95,TRI,False,56,10,49,0,8,0,0.0,155.9807540426218,0.0,121.02999877929688,-8.366143926839143,-23.322151057205552,-40.039789919866806,-22.35616161048603
98,WBD,True,62,8,23,32,0,16,27.63438750127212,0.0,17.873625756687648,28.239999771118164,0.10634770513700863,55.25013162173178,120.62499492429204,198.20484661906352
116,ALGN,True,74,45,6,31,0,4,163.091022111544,0.0,193.43853620270235,165.5500030517578,3.0950312392772514,26.906866174509787,-12.416675849225214,-24.375313927048058
117,ALLE,False,60,2,7,0,0,0,0.0,172.68862893353176,0.0,163.00999450683594,1.4311416196153335,-8.158212033457746,8.956616430597904,23.874277676994136
128,AME,True,63,17,39,42,0,18,207.8469574512069,0.0,184.30785738571126,213.13999938964844,6.623314606012558,15.097954457661999,20.063545818873358,18.641383966003893
140,T,False,81,33,19,0,11,0,0.0,27.763074476193008,0.0,23.450000762939453,-2.6070260469708617,-9.928139902094674,-12.416537127011457,11.158191937153878
159,BMY,True,55,2,19,36,0,5,53.78860014859995,0.0,42.41863273987065,54.220001220703125,2.447726493301717,25.74089734220271,19.114955088800404,1.0270056228040754
179,CNC,True,56,13,39,27,0,23,43.42561610745839,0.0,35.726900256330886,45.7599983215332,17.72575142521196,29.74198391727115,66.82463657464388,-27.21488929702233
210,CMI,True,56,13,73,34,0,48,551.0982188290698,0.0,421.7897614905752,565.7999877929688,13.742357875533875,37.98001105320557,65.73059354812065,57.5415772075184
212,DHR,True,77,27,19,36,0,9,229.42034107675104,0.0,202.532172282035,234.3300018310547,5.401071467619082,12.242611925217156,24.990119326629667,-2.520846835032458
214,DVA,False,55,2,58,0,0,0,0.0,125.34466659684325,0.0,103.93000030517578,-12.236107150666564,-17.43723977372917,-25.46080057047278,-36.954809549770864
226,DOV,True,63,33,7,34,0,4,198.02655831808926,0.0,175.11139021758433,201.27000427246094,2.610252630789569,21.221440256646538,8.253994802993194,4.652687407479812
231,DD,True,57,12,6,30,0,2,41.57284533793252,0.0,32.05679742190796,42.279998779296875,4.1379319416640685,27.641348182724627,34.43513206083408,34.66162182875921
255,EXPD,True,54,30,31,38,0,19,157.55065157324614,0.0,120.71191068487232,159.1199951171875,6.2570918979549255,33.387627660047336,42.13473585931124,44.823794343059234
262,FDX,True,58,11,34,44,0,14,300.54178322445966,0.0,233.7682692313052,301.0299987792969,6.668795540222572,27.238429803262655,34.900958583550675,11.098070027204194
271,FOX,True,58,13,7,33,0,1,64.78668816100785,0.0,54.191383801994476,65.13999938964844,3.2002542648068366,25.53478542272492,28.19578060490839,43.24622350476374
290,HAS,True,60,32,18,23,0,10,82.35854044271309,0.0,78.12891082457487,85.12999725341797,4.64658740036653,14.852237157535129,11.598988282273206,53.320833425224215
306,HII,True,194,5,22,93,0,15,385.17499569961683,0.0,191.11049556580826,415.5799865722656,29.34731100240871,49.06531815546717,65.84425876879038,111.57668520162261
387,NUE,True,58,34,11,29,0,5,165.3963268071521,0.0,141.78023080305599,174.49000549316406,8.958213734952041,32.861557708870706,23.669001502255764,43.75325036942802
397,PH,True,60,26,25,34,0,13,905.358889352996,0.0,744.8612412215343,929.489990234375,7.680810436340662,26.978289286023095,31.28335367830123,42.49426561402609
398,PAYC,False,118,7,29,0,4,0,0.0,227.28280307936575,0.0,147.47999572753906,-11.672758789407876,-26.343177385827055,-35.044631891316506,-28.574555564497363
450,STLD,True,110,21,29,43,0,18,167.66629510327633,0.0,129.71266334156695,171.80999755859375,-0.24675765683613857,20.710160921294943,28.548552859221015,39.440722052124414
469,TSCO,False,96,61,10,0,36,0,0.0,60.32106461649396,0.0,50.970001220703125,-4.711161672627384,-7.259976048515984,-10.495869634257367,-3.177505756351008
475,TYL,False,111,8,15,0,4,0,0.0,565.3071000048424,0.0,428.4700012207031,-5.050305378657091,-15.255143186651987,-23.491602448773545,-25.5391608580752
483,UPS,True,62,7,5,32,0,3,103.7025846866893,0.0,82.2565799561608,106.54000091552734,5.5269432266792435,25.4392783160012,11.66744073499387,-12.37275472774105
