,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1D,1W,1M,3M,6M,1Y
34,CSGP,False,153,47,24,0,33,0,0.0,91.26566967368528,0.0,42.900001525878906,0.18683286227196672,-1.6731595791085394,-12.573870404152679,-33.826931491263565,-51.93815763033028,-45.96977241631856
80,PYPL,False,110,5,48,0,3,0,0.0,68.86988860356433,0.0,44.0099983215332,-0.40733267881793245,-1.9821896973271462,5.7830062180871,-26.64797879681891,-35.427180707851036,-36.79244197615493
93,TSLA,False,56,18,13,0,16,0,0.0,457.2523699631363,0.0,367.9599914550781,-3.2448058727281333,-5.940700415840993,-10.626412015257975,-21.25155507323539,-11.728442828976888,56.007797211431395
103,ZS,False,87,15,12,0,7,0,0.0,315.9215262231083,0.0,151.47000122070312,-2.5289529151456156,-1.489329713803419,-10.367479556753818,-33.105151207778036,-47.968118978200444,-25.73179529924547
161,BRO,False,54,13,40,0,5,0,0.0,78.50600246485102,0.0,67.05000305175781,0.7361861645693473,-1.77263264958268,-3.4139947849317362,-16.640917646514264,-26.69558179709713,-43.65819768095628
165,BXP,False,72,7,19,0,4,0,0.0,68.7722986087894,0.0,52.08000183105469,-2.490166673201862,0.13459625414466028,-16.29700930683114,-24.34331020004236,-31.697914034925347,-20.612733679232754
181,CF,True,54,54,15,33,0,7,112.04339660896949,0.0,84.55273783619504,124.9000015258789,-0.525641960455479,-3.6042336454101163,25.578124548140934,58.92517110220389,50.1970391420391,65.18555672870929
184,CVX,True,56,26,20,42,0,2,194.25940058803582,0.0,149.2520721818832,201.72999572753906,0.14396012838471056,2.4946591914470155,9.173069087681638,36.2382168617835,29.67668560072898,28.502420201487276
201,COP,True,54,11,24,37,0,13,120.02119790872578,0.0,91.17119122327155,126.91999816894531,0.714173583441707,4.126670608322318,13.737792216280727,34.69640542022483,38.09853926828351,29.544279925433415
245,EQIX,True,66,19,11,45,0,2,946.7220355124097,0.0,775.5292690165038,959.1599731445312,-1.6003976840252898,-1.1073359108346807,5.049683909277274,28.94952130346462,23.548671088614217,14.73952645900317
247,ERIE,False,71,2,25,0,0,0,0.0,285.8648766866734,0.0,240.3699951171875,-0.2324316505281835,-2.6487418281649395,-12.474969652439873,-16.33812786416355,-24.07806216804098,-40.985942244258425
257,XOM,True,57,8,4,34,0,2,153.6143310271544,0.0,114.03629988497009,159.6699981689453,0.9547258926864132,2.2738939039122394,5.762732250047251,36.899965585743274,42.315570293770335,43.10384380873479
258,FFIV,True,79,28,28,35,0,13,276.605642522741,0.0,323.726106332612,284.2799987792969,-2.0737131473684762,-1.7386190666563994,1.8231298733409573,11.016515268561115,-14.321877866771542,5.207064049871694
