,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
2,^VIX,False,30,82,26,0,14,0,0.0,17.658234485655967,0.0
24,BKNG,True,27,64,7,18,0,4,5265.732743602084,0.0,5526.451958579189
31,CTSH,True,50,78,4,38,0,2,81.25990397861854,0.0,76.27707565996064
32,CMCSA,True,18,65,17,11,0,9,26.682303676819902,0.0,30.660637214100316
37,CRWD,False,36,57,31,0,27,0,0.0,522.7308591590778,0.0
39,DDOG,False,27,66,20,0,24,0,0.0,156.50614400277593,0.0
60,LIN,True,19,51,14,17,0,2,424.67621468586105,0.0,465.66919329152046
76,ODFL,True,28,55,14,21,0,3,157.97334133592247,0.0,144.65491527143374
91,SNPS,True,29,62,45,18,0,21,480.666363513406,0.0,593.5392980258365
95,TXN,True,30,59,10,12,0,6,172.21018349052102,0.0,192.75359472007662
97,VRSK,True,9,55,7,2,0,3,217.75020354375647,0.0,242.62294691347233
127,AMP,True,26,99,13,18,0,10,483.9175930541012,0.0,522.1778121611259
155,XYZ,True,10,53,4,3,0,2,65.12876676588715,0.0,74.49672646587351
181,CF,True,6,54,15,2,0,7,75.83973737120579,0.0,85.00411707974273
186,CB,False,3,51,6,0,31,0,0.0,307.19039551577094,0.0
196,COIN,True,5,56,18,3,0,8,225.45081895247344,0.0,350.786468376921
216,DECK,True,30,56,35,20,0,13,102.76559136646206,0.0,116.50537183645918
265,FSLR,False,3,129,11,0,47,0,0.0,248.11273711772185,0.0
326,JCI,False,4,52,7,0,23,0,0.0,116.71162243784147,0.0
344,LYV,True,26,52,28,18,0,18,141.07843622617395,0.0,164.6194978704595
355,MA,True,29,56,26,14,0,15,561.4083198884915,0.0,582.1323124602877
359,MCK,False,27,57,49,0,31,0,0.0,855.2161999324724,0.0
372,MSI,True,16,59,42,13,0,24,369.80400043525776,0.0,467.5767972315926
378,NWS,True,4,66,8,2,0,4,29.413867740977018,0.0,32.97513809300715
438,SRE,False,25,59,3,0,27,0,0.0,89.99181141705198,0.0
470,TSCO,False,90,61,10,0,36,0,0.0,60.32106537896058,0.0
491,VRSN,True,1,70,18,0,0,10,237.88141077946335,0.0,280.11888070954257
