,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1M,3M,6M,1Y
16,ARM,True,7,53,24,3,0,14,105.29530282841792,0.0,159.74462063407955,105.36000061035156,-4.961212312573663,-38.165384712858675,-25.47480062928271,-28.617888717118394
30,CTSH,True,64,78,4,43,0,2,81.91291029779215,0.0,76.27707565455354,82.05999755859375,-2.4720725530580236,14.965812538619822,15.364573752706262,2.7059338496878267
31,CMCSA,True,32,65,17,21,0,9,27.976769445322763,0.0,30.305369824681286,29.75,7.158404404402479,12.56703022585694,-2.328445884058187,-11.534270104617962
33,CPRT,True,12,52,6,7,0,2,39.71550648879249,0.0,43.51865714501947,40.58000183105469,2.734181850771361,-4.517642750459559,-10.478711246699904,-29.204462583556314
36,CRWD,False,50,57,31,0,27,0,0.0,522.7308591590778,0.0,441.4049987792969,-7.195720571066182,-19.082493349349793,-2.896145441362573,11.16553520469688
59,LIN,True,33,51,14,28,0,2,443.13358538200544,0.0,465.66919330824476,456.9700012207031,6.6789655540911195,6.167208823496047,-0.031311164005540404,5.658668573143013
75,ODFL,True,42,55,14,29,0,3,166.55844339388472,0.0,144.6549152714338,173.1999969482422,8.71884979129432,27.48365661821184,16.49464359058727,-6.130811439852387
86,ROST,False,7,67,3,0,43,0,0.0,187.23939159601366,0.0,188.64999389648438,3.968033656289317,19.41375695002166,38.850400338451166,27.035192422872562
89,SBUX,False,1,54,8,0,21,0,0.0,92.21819829159344,0.0,91.94999694824219,7.859233956882332,10.032410619727568,4.559621498450745,-13.067604403923996
91,TMUS,True,1,108,25,0,0,12,181.41543505871283,0.0,249.17860246996622,197.2100067138672,-3.2335604706625074,-7.824260125288237,-16.57834610463721,-14.825919545392207
94,TXN,True,44,59,10,24,0,6,192.5655921089793,0.0,192.75359472007705,215.5500030517578,22.87652793392671,35.70070864389157,20.11154350167656,23.45274256890833
99,WBD,False,2,68,8,0,32,0,0.0,27.63438750127212,0.0,27.540000915527344,-4.837593616775178,29.053424173418207,109.11162305229945,164.0460221449936
114,ALB,False,1,54,5,0,33,0,0.0,175.46164461086155,0.0,170.6300048828125,20.153518402255045,74.99489056098041,153.60885017688696,101.86664777206977
116,ALGN,False,1,81,45,0,31,0,0.0,163.091022111544,0.0,163.02999877929688,3.0921964136345683,23.591838566620098,26.370053267972427,-27.36466874762697
117,ALLE,True,8,60,2,5,0,0,162.21389854316402,0.0,172.6886289335318,165.38999938964844,2.6438244757295015,-0.12077840006354527,-0.319430318916236,27.237129814635715
127,AMP,True,40,99,13,21,0,10,486.47697255945434,0.0,522.1778085119472,527.1900024414062,6.617186308558037,10.549667595136597,2.417557686556882,-7.161295176676072
140,T,True,3,86,33,1,0,11,23.16330171279481,0.0,27.76307396472872,26.209999084472656,6.881443986556272,5.478466495766266,-2.2153491494181026,12.909244604482062
179,CNC,False,4,60,13,0,27,0,0.0,43.42561610745839,0.0,43.31999969482422,5.120118071408987,16.01499603052861,66.16800998054752,-32.21718072562573
181,CF,True,20,54,15,15,0,7,88.12649282975282,0.0,85.00411708486335,93.2300033569336,21.18809695450003,11.451059450783648,1.6258177469732455,3.196262389410948
203,COO,False,3,51,10,0,16,0,0.0,80.60335339905805,0.0,81.37999725341797,-1.3216975277690715,16.958889209308346,15.122357395407471,-16.95918647610411
212,DHR,False,3,82,27,0,36,0,0.0,229.42034107674462,0.0,218.88999938964844,-5.1068621289315095,2.421867419526632,11.371604740824473,-1.5487101459868293
215,DAY,False,9,53,15,0,29,0,0.0,69.09904687766486,0.0,69.2699966430664,0.0722268440936231,1.331182013736035,20.11444224454228,-2.9832000522303637
222,DG,False,2,53,9,0,35,0,0.0,142.59820696702644,0.0,143.42999267578125,6.053378093190808,44.17145182771718,38.14393612342652,103.48665611836039
230,DUK,True,12,53,25,7,0,18,118.09737285029999,0.0,124.95163375314863,121.3499984741211,3.1186252204520937,-1.5167836946294604,1.4986467133838879,13.667511822449965
232,ETN,True,10,59,30,5,0,10,331.9168664831852,0.0,361.6119289874805,351.4200134277344,9.524412351601779,-9.369435608579142,-8.389629860987744,11.765127797784599
254,EXPE,False,9,61,18,0,29,0,0.0,281.4930831718479,0.0,264.8399963378906,-7.0736854954769735,20.714482291821632,47.47704284149519,55.881220792288886
