,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1D,1W,1M,3M,6M,1Y
24,AVGO,True,3,57,13,1,0,8,314.8064381844656,0.0,362.3930326374178,341.57000732421875,-0.2948156015044459,7.570940899234903,-0.6890722510799694,-14.678744593843106,1.8237094233659767,86.85635835006767
30,CTSH,False,26,65,78,0,43,0,0.0,81.49819213997145,0.0,62.43000030517578,-0.8732919038713242,-4.130838955696206,-15.887818285020474,-22.255379486040347,-10.960445374865847,-24.351883403818338
31,CMCSA,True,59,65,17,28,0,9,30.4785237830021,0.0,30.305369824806824,30.56999969482422,-1.6092694075027374,-4.736679496840363,-3.2901009030248702,23.82953066262521,-0.9478730979531493,-5.949104316528187
36,CRWD,True,5,72,57,3,0,27,387.98077352218024,0.0,522.7308591590778,442.0299987792969,1.3063535357286762,8.42572770816188,8.330063112091366,-14.200586835034718,4.372975510997022,43.11662881034993
42,EA,False,27,87,2,0,51,0,0.0,203.51568971023133,0.0,199.9199981689453,-0.07497833247456412,-0.8972376924244683,-0.37877025240401063,-1.6807528598560415,20.631419441112484,42.97321758670194
49,HON,False,4,55,18,0,37,0,0.0,236.90473908690248,0.0,239.44000244140625,-0.4862633165609895,-2.6547947907833116,0.3288704973235196,25.33400297665402,19.904891797494443,21.3602140687281
60,MAR,False,4,55,5,0,24,0,0.0,327.9281036679847,0.0,326.3800048828125,0.1165659149731595,-2.845745516793934,-1.267891168520406,13.616355251336461,24.160365185056623,28.087076245609392
64,MCHP,False,7,61,19,0,25,0,0.0,73.55091310621845,0.0,65.79000091552734,0.7041161358945427,-5.879829071004995,-11.063876176286703,-1.7410843747596434,3.110376614995654,26.767895534125618
71,NFLX,True,11,85,10,8,0,4,87.74174579516509,0.0,117.75870061128927,94.88999938964844,-2.114713224808203,-3.8212083240666015,16.472318605458703,-1.9630142658404526,-24.884225860281067,9.486777347525667
75,ODFL,False,4,65,55,0,41,0,0.0,191.89463261729867,0.0,188.77999877929688,-3.1996745751508646,-12.67866383855483,-3.6032625282435617,24.63320659353213,27.795550851725114,6.815481031530024
76,PCAR,False,7,67,4,0,41,0,0.0,122.47608830564337,0.0,118.12000274658203,-0.7561703258851543,-5.443480244985896,-6.940473603714152,9.30865223797423,23.386227708595964,9.578269929921744
