,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
58,KHC,False,24,7,60,0,3,0,0.0,24.51199186338043,0.0
80,PAYX,False,6,14,92,0,4,0,0.0,111.86997847261804,0.0
93,TTWO,True,11,40,54,4,0,30,247.60969622778504,0.0,253.35705289170681
105,AOS,True,30,35,71,13,0,21,66.73724374641833,0.0,70.84862870500953
152,BIIB,True,4,11,55,2,0,23,174.1339895676947,0.0,170.8417220508738
160,BR,False,7,19,65,0,3,0,0.0,224.28059697470042,0.0
174,CAT,True,5,11,81,2,0,41,574.63369596083,0.0,573.8509960401431
210,CMI,True,50,13,73,28,0,48,521.5318677643629,0.0,421.78976149057723
214,DVA,False,49,2,58,0,0,0,0.0,125.34466659684325,0.0
237,ELV,True,37,14,51,18,0,19,353.3001176997843,0.0,339.0417443192991
238,EME,True,20,29,91,2,0,52,601.6954148173646,0.0,673.4789677557054
286,GDDY,False,19,28,127,0,6,0,0.0,125.31530431818801,0.0
325,JNJ,True,20,2,51,4,0,28,202.80607050587523,0.0,201.5364285087829
328,KVUE,False,5,38,52,0,19,0,0.0,16.953713241980317,0.0
331,KMB,False,24,6,65,0,3,0,0.0,102.98113533363096,0.0
353,MLM,True,30,22,82,14,0,39,618.3652859487041,0.0,617.9476492381297
382,NDSN,True,31,6,67,12,0,20,244.37684084650405,0.0,227.84158551637603
384,NTRS,True,30,33,107,23,0,50,138.18134646259531,0.0,127.70971863983597
386,NCLH,True,21,49,66,12,0,29,22.036008344468954,0.0,24.626499088602145
416,PTC,False,6,7,73,0,1,0,0.0,170.30436884201288,0.0
427,RSG,False,23,13,78,0,6,0,0.0,211.56510605951735,0.0
462,TDY,True,25,38,74,13,0,31,514.8285727211202,0.0,575.1175967231167
486,UNH,True,26,23,55,10,0,31,329.59469635495145,0.0,349.2037919309811
504,WAT,True,5,14,51,3,0,28,380.14095412236026,0.0,385.6721344509147
508,WST,True,31,7,80,6,0,28,265.90245988300006,0.0,265.54419312998664
