,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
24,BKNG,False,3,29,64,0,18,0,0.0,5265.732743602079,0.0
80,PAYX,False,11,14,92,0,4,0,0.0,111.86997847261799,0.0
105,AOS,True,35,35,71,15,0,21,67.83329646662689,0.0,70.84862870500957
155,XYZ,False,2,13,53,0,5,0,0.0,65.39260838305891,0.0
160,BR,False,12,19,65,0,3,0,0.0,224.28059697462325,0.0
174,CAT,True,10,11,81,7,0,41,609.0309266092114,0.0,573.8509960401431
210,CMI,True,55,13,73,33,0,48,550.7921305146123,0.0,421.7897614943439
214,DVA,False,54,2,58,0,0,0,0.0,125.34466659684325,0.0
216,DECK,False,5,30,56,0,20,0,0.0,102.76559136646206,0.0
237,ELV,True,42,14,51,22,0,19,356.1591635626329,0.0,339.0417443438818
238,EME,True,25,29,91,5,0,52,632.9035615319879,0.0,673.0772387396942
286,GDDY,False,24,28,127,0,6,0,0.0,125.31530431818801,0.0
325,JNJ,True,25,2,51,6,0,28,208.07137697883195,0.0,201.5364285087992
328,KVUE,False,10,38,52,0,19,0,0.0,16.9537132419803,0.0
331,KMB,False,29,6,65,0,3,0,0.0,102.98113533363106,0.0
352,MLM,True,35,22,82,15,0,39,619.714341481603,0.0,617.9476492076313
354,MA,False,4,30,56,0,14,0,0.0,560.5662797898289,0.0
358,MCK,True,2,30,57,0,0,31,801.4296846079836,0.0,855.2161999325688
381,NDSN,True,36,6,67,17,0,20,258.6139305304866,0.0,227.84158551700006
383,NTRS,True,35,33,107,28,0,50,140.82836144409117,0.0,127.70971880267287
415,PTC,False,11,7,73,0,1,0,0.0,170.30436884201288,0.0
426,RSG,False,28,13,78,0,6,0,0.0,211.56510606153893,0.0
437,SRE,True,4,26,59,2,0,27,87.70191478339521,0.0,89.99181141705186
461,TDY,True,30,38,74,18,0,31,540.5624109741441,0.0,575.1175967231167
485,UNH,True,31,23,55,11,0,31,329.5949894177074,0.0,349.20379200572904
503,WAT,True,10,14,51,5,0,28,380.1485896538539,0.0,385.6721344509147
