,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1M,3M,6M,1Y
2,^VIX,True,10,35,82,0,0,14,12.716804538013582,0.0,17.658234485655967,16.34000015258789,9.297661277970807,-3.370784742564329,-19.82335218127038,3.1565656261582267
23,BKNG,False,13,29,64,0,18,0,0.0,5265.7327436020805,0.0,5122.25,-4.352300880146787,1.0204343013685333,-4.556099074390406,8.084476440265279
33,CPRT,False,1,12,52,0,7,0,0.0,39.71550648879249,0.0,39.68000030517578,1.3537643898852356,-6.59133537484295,-12.810367460723327,-32.24043822636645
38,DDOG,True,6,36,66,2,0,24,124.8835861948425,0.0,156.50614400277593,129.0500030517578,-5.103318009465857,-17.839181871700667,-4.830385513963479,-9.508447865197946
66,MSFT,False,3,3,55,0,1,0,0.0,448.23834994597075,0.0,423.3699951171875,-12.458128408317904,-19.323955915124053,-18.936929335472737,2.7719027760512884
67,MSTR,False,3,11,64,0,3,0,0.0,155.04581208582536,0.0,139.6300048828125,-8.107925181220091,-45.15064584769382,-61.915281612741154,-58.94321903426837
79,PAYX,False,21,14,92,0,4,0,0.0,110.7186595062098,0.0,102.47000122070312,-7.705877813543712,-10.828079776080747,-24.977575855276264,-27.874175041908426
90,SNPS,False,3,41,62,0,21,0,0.0,488.36553972170947,0.0,457.8900146484375,-2.518518807272841,3.3775138780468144,-25.985614389635636,-13.008202106661479
96,VRSK,False,9,15,55,0,2,0,0.0,217.75020354375653,0.0,214.14999389648438,-4.264834566051204,-1.3811038937311857,-20.937271739986475,-25.157103309344414
105,AOS,True,45,35,71,19,0,21,68.509991302322,0.0,70.50004911678023,74.70999908447266,12.259868060917361,13.17365525521194,7.210366147394384,13.838567234860374
120,MO,False,3,12,59,0,10,0,0.0,60.56485389434593,0.0,62.22999954223633,7.925771257228558,10.920484763479703,4.229488846675726,29.39489727946809
155,XYZ,False,12,13,53,0,5,0,0.0,65.39260838305891,0.0,60.400001525878906,-7.20540033166594,-18.29003920179522,-18.41145140911405,-35.01882355142868
160,BR,False,22,19,65,0,3,0,0.0,224.28059697470053,0.0,198.33999633789062,-11.126048319567468,-9.873816923149779,-18.267581410416348,-15.741792716698267
174,CAT,True,20,11,81,12,0,41,624.3969811237525,0.0,572.51148826309,690.9099731445312,20.887200577787702,18.75614507217142,62.008948521848026,86.78773358018641
186,CB,True,2,16,51,0,0,31,300.2204241444002,0.0,307.1903955157711,311.25,-0.2787373865172767,11.936273729705524,16.39865635916611,14.013091947134532
196,COIN,False,10,10,56,0,6,0,0.0,231.2158823400165,0.0,187.86000061035156,-16.92756649978533,-42.81452770818764,-40.303155755534306,-37.65017981366957
210,CMI,True,65,13,73,39,0,48,561.1718042899172,0.0,421.7897614943465,595.1300048828125,16.58928213355322,36.43308568196359,68.82521450282353,68.77194330725234
214,DVA,False,64,2,58,0,0,0,0.0,125.34466659684325,0.0,111.19000244140625,-2.130092558704568,-6.366313733552631,-19.70681262860968,-37.002831477956796
238,EME,True,35,29,91,15,0,52,688.110862506334,0.0,673.0772387396942,731.6699829101562,19.66634083973108,12.979427263505702,17.24244265891967,63.40603786928014
286,GDDY,False,34,28,127,0,6,0,0.0,125.31530431818801,0.0,100.16000366210938,-19.277883475142428,-20.97206458077307,-35.98772743611583,-53.093240184188794
325,JNJ,True,35,2,51,15,0,28,220.02135204347866,0.0,201.53642850878293,230.75,11.500364050602112,22.832626929175394,39.795351073024854,55.565787779021825
326,JCI,True,3,16,52,1,0,23,114.53354282604288,0.0,116.7116224378415,122.9800033569336,2.6972888158109343,7.67884103210124,15.495867280065765,58.52337125978464
353,MLM,True,45,22,82,17,0,39,624.8744724716767,0.0,617.9476492381294,654.3300170898438,5.086250170437932,6.881109959937566,13.53719499809263,20.46016824466738
359,MCK,True,12,30,57,1,0,31,805.0507822786838,0.0,855.2161999325685,846.510009765625,3.1964344854408577,2.6369105011308824,21.395480578081553,40.60407801116461
382,NDSN,True,46,6,67,24,0,20,264.37606803794824,0.0,227.84158551700003,276.9100036621094,15.172820404117074,19.881785382124896,33.283729000232526,27.347428613452323
384,NTRS,True,45,33,107,29,0,50,140.8274394500999,0.0,127.70971880267282,151.6199951171875,11.00373320321079,20.20177404821962,20.796706970456587,38.184400267953386
416,PTC,False,21,7,73,0,1,0,0.0,170.30436884201282,0.0,156.9199981689453,-9.924807920660957,-20.49853364726022,-26.0195192506698,-18.27508845464883
448,LUV,True,3,1,53,1,0,30,39.46884670267873,0.0,41.27823118256577,49.63999938964844,20.106453400516795,65.69076153883717,68.24221665831996,62.26464737429686
462,TDY,True,40,38,74,27,0,31,567.8022358985211,0.0,575.1175967231167,613.22998046875,20.069306145623333,18.441328917189765,12.583300174435784,18.192496478220846
470,TSCO,False,3,6,96,0,4,0,0.0,52.03165834953381,0.0,52.97999954223633,5.938814877792764,-1.6791106456354017,-7.321441119233086,-0.7681748557542059
491,VRSN,False,3,13,70,0,10,0,0.0,244.5676071803224,0.0,251.0,3.313440276960685,6.865395567085361,-4.8493494230584355,18.3074806815336
