,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
0,SPY,True,18,52,17,16,0,10,699.194772595562,0.0,683.0556803920933
1,QQQ,True,18,41,5,16,0,0,640.2468051304363,0.0,614.2135705605084
2,^VIX,False,15,55,35,0,16,0,0.0,19.821370885478547,0.0
3,ADBE,True,10,23,8,4,0,4,237.59282019688516,0.0,263.1007153884859
4,AMD,True,25,34,13,15,0,8,279.70230008651697,0.0,232.7463060828202
5,ABNB,True,12,21,12,9,0,7,136.55688358332569,0.0,126.83550798060497
6,ALNY,False,9,16,50,0,6,0,0.0,314.33037971289855,0.0
7,GOOGL,True,20,37,23,18,0,13,334.63480433927407,0.0,324.56078763407174
8,GOOG,True,20,37,21,18,0,12,333.04302069624333,0.0,325.1540712026653
9,AMZN,True,18,10,12,16,0,3,248.7800887518501,0.0,205.56130207329682
10,AEP,True,16,13,44,4,0,32,131.87757297204766,0.0,130.08113245694466
11,AMGN,False,3,12,24,0,3,0,0.0,341.1630841807186,0.0
12,ADI,True,18,23,38,16,0,33,366.1095337911093,0.0,339.0428608733053
13,AAPL,True,18,35,8,13,0,5,261.23397817007447,0.0,263.16344649775573
14,AMAT,True,16,8,2,12,0,0,376.78076124321706,0.0,335.5871766361038
15,APP,True,12,18,10,7,0,4,422.43740401833674,0.0,442.6527514511203
16,ARM,True,31,8,18,17,0,12,171.72174206236843,0.0,120.76192594304771
17,ASML,True,16,26,39,4,0,26,1359.1933700876505,0.0,1430.9424343534877
18,ADSK,True,6,20,17,0,0,8,225.28500878034936,0.0,243.50555429039977
19,ADP,True,1,33,5,0,0,2,189.40546069002193,0.0,209.23303588379792
20,AXON,False,26,19,19,0,9,0,0.0,474.92992799581583,0.0
21,BKR,True,29,11,40,11,0,33,62.892029673257845,0.0,62.07010829396981
22,BKNG,False,5,13,5,0,10,0,0.0,177.47166777333598,0.0
23,AVGO,True,17,11,9,14,0,2,391.33066120823116,0.0,314.1514474496847
24,CDNS,True,12,51,13,8,0,4,304.29594199992255,0.0,304.69835561029595
25,CHTR,False,4,6,26,0,4,0,0.0,225.72733596308024,0.0
26,CTAS,False,34,23,7,0,8,0,0.0,193.88108843765082,0.0
27,CSCO,True,16,6,3,10,0,1,85.26717066754827,0.0,77.09814099190987
28,CCEP,False,1,15,23,0,6,0,0.0,93.4633427668905,0.0
29,CTSH,False,60,65,78,0,43,0,0.0,81.49819214048132,0.0
30,CMCSA,False,4,6,24,0,4,0,0.0,28.251485584384696,0.0
31,CEG,True,4,31,17,2,0,14,284.7885598695527,0.0,300.87172712740715
32,CPRT,False,61,12,52,0,7,0,0.0,39.71550648879249,0.0
33,CSGP,False,4,6,170,0,3,0,0.0,37.2365259395914,0.0
34,COST,False,13,6,10,0,3,0,0.0,989.109541219475,0.0
35,CRWD,True,7,7,3,5,0,1,418.89993335874516,0.0,381.30365629105154
36,CSX,True,21,18,30,16,0,25,42.407412899597304,0.0,41.26373954742789
37,DDOG,True,11,12,15,7,0,10,122.01962805001773,0.0,120.76558967362132
38,DXCM,False,36,14,5,0,8,0,0.0,68.01265446857111,0.0
39,FANG,True,1,15,49,0,0,30,185.6823510406169,0.0,190.1317021663078
40,DASH,True,16,60,26,8,0,15,167.0740559820953,0.0,218.95356899226596
41,EA,False,15,10,36,0,8,0,0.0,202.30717050113682,0.0
42,EXC,False,29,24,6,0,19,0,0.0,48.21902308428819,0.0
43,FAST,False,12,9,8,0,5,0,0.0,45.40570959412945,0.0
44,FER,False,1,19,21,0,12,0,0.0,67.7022515618748,0.0
45,FTNT,True,7,7,3,3,0,1,80.639716009923,0.0,78.87642002908586
46,GEHC,False,5,11,25,0,8,0,0.0,70.4761259849933,0.0
47,GILD,False,8,8,28,0,2,0,0.0,136.6388221795493,0.0
48,HON,False,7,8,23,0,3,0,0.0,224.29241551717777,0.0
49,IDXX,False,1,15,22,0,1,0,0.0,553.6931629649093,0.0
50,INSM,False,11,11,17,0,5,0,0.0,147.25243848258003,0.0
51,INTC,True,20,2,13,16,0,3,66.38062120444827,0.0,42.95892508476094
52,INTU,True,8,17,18,2,0,10,370.2499775289236,0.0,427.14211515231943
53,ISRG,True,6,67,16,3,0,5,443.2711063557481,0.0,557.8352160831571
54,KDP,True,15,24,20,8,0,14,26.534120932053696,0.0,28.472405647688216
55,KLAC,True,16,6,4,11,0,1,1711.6922384494965,0.0,1411.1226640192185
56,KHC,False,12,7,16,0,5,0,0.0,22.343144828709622,0.0
57,LRCX,True,16,8,5,9,0,3,241.93019620025547,0.0,212.6688372929694
58,LIN,True,32,6,14,10,0,10,494.16006734419364,0.0,487.33528930025665
59,MAR,True,18,20,55,11,0,24,352.03153755727266,0.0,327.9281036681016
60,MRVL,True,20,2,34,16,0,8,144.92921474974557,0.0,87.48222679847312
61,MELI,False,1,16,43,0,11,0,0.0,1773.0662788903662,0.0
62,META,True,16,17,35,11,0,6,641.0864116185794,0.0,635.6682169447143
63,MCHP,True,18,23,61,15,0,25,78.13132404727584,0.0,73.55091310626209
64,MU,True,16,11,6,14,0,3,461.6752848332787,0.0,411.3744621223387
65,MSFT,True,13,17,9,8,0,3,403.2329767177895,0.0,392.19685929737045
66,MSTR,True,12,11,17,8,0,5,150.0804879480506,0.0,130.88606434678022
67,MDLZ,True,2,9,20,0,0,12,55.881584755810906,0.0,56.97170650893217
68,MPWR,True,18,23,38,15,0,21,1448.247107079411,0.0,1116.15311983566
69,MNST,True,15,27,47,11,0,27,75.24064346751443,0.0,82.87154582298108
70,NFLX,False,9,36,85,0,18,0,0.0,99.22481273383227,0.0
71,NVDA,True,16,27,13,13,0,6,197.62190479205952,0.0,179.41298522873936
72,NXPI,True,16,25,13,14,0,4,216.98324559868632,0.0,220.16225027629315
73,ORLY,False,2,22,34,0,15,0,0.0,91.6213902984226,0.0
74,ODFL,False,1,19,18,0,15,0,0.0,210.92289922247784,0.0
75,PCAR,False,2,17,22,0,12,0,0.0,121.23648574961467,0.0
76,PLTR,True,6,17,19,0,0,13,131.77266679416783,0.0,144.7513589115094
77,PANW,True,17,9,13,7,0,10,165.4573715625249,0.0,161.46326196267214
78,PAYX,True,8,26,7,2,0,4,89.38862339503933,0.0,92.73589129591876
79,PYPL,True,13,124,5,7,0,3,48.202270168364095,0.0,68.8698894376308
80,PDD,False,5,11,13,0,3,0,0.0,97.8827917689096,0.0
81,PEP,True,22,17,34,6,0,24,151.7313675256992,0.0,161.0902920840029
82,QCOM,True,13,61,5,7,0,1,131.0485165349483,0.0,167.83352640461052
83,REGN,False,2,19,13,0,1,0,0.0,739.4365320954932,0.0
84,ROP,True,10,24,10,4,0,7,350.95342698682333,0.0,347.0695753033499
85,ROST,True,56,12,67,32,0,43,220.39430997693896,0.0,186.84232099101447
86,SNDK,True,18,6,11,16,0,7,916.4390214607035,0.0,639.5526097610991
87,STX,True,18,4,9,16,0,2,538.2214703292841,0.0,371.03975341659225
88,SHOP,True,11,17,11,5,0,5,121.23731284856734,0.0,121.0412285215169
89,SBUX,True,17,13,6,12,0,3,96.18454419648178,0.0,97.00191848610602
90,SNPS,True,12,51,41,8,0,21,443.17272492539297,0.0,488.36553972170947
91,TMUS,False,30,32,108,0,14,0,0.0,213.20922671591788,0.0
92,TTWO,True,12,16,16,6,0,5,207.25225824254727,0.0,201.3596340925898
93,TSLA,True,11,72,18,5,0,16,358.3004590282721,0.0,457.2523699631363
94,TXN,True,18,28,59,13,0,35,226.37691707116798,0.0,215.01671660466965
95,TRI,True,11,20,14,4,0,8,88.38678889122292,0.0,95.63466225485611
96,VRSK,True,7,27,10,1,0,8,170.9535360331184,0.0,197.7065762706221
97,VRTX,False,30,37,5,0,5,0,0.0,455.73342104521845,0.0
98,WMT,True,19,30,30,7,0,16,125.72727404121203,0.0,124.7001149687297
99,WBD,False,37,17,9,0,9,0,0.0,27.937240194084985,0.0
100,WDC,True,17,5,10,15,0,4,366.53305827500134,0.0,267.77482074967617
101,WDAY,False,5,2,19,0,0,0,0.0,116.17304618696684,0.0
102,XEL,False,11,5,14,0,2,0,0.0,79.40211978019505,0.0
103,ZS,True,6,108,15,0,0,7,124.29476988165635,0.0,315.9215262231083
104,MMM,False,6,9,27,0,7,0,0.0,146.37193836800225,0.0
105,AOS,False,11,5,29,0,3,0,0.0,63.69920403259646,0.0
106,ABT,False,39,8,24,0,4,0,0.0,111.84556007753517,0.0
107,ABBV,False,33,20,27,0,7,0,0.0,222.29297159744598,0.0
108,ACN,False,63,14,4,0,6,0,0.0,265.1760702212068,0.0
