,ticker,current_down_trend,previous_up_trend_more_than_50_days,low_in_current_down_trend_higher_than_big_volume_bar,jump_count_more_than_30,volume_in_current_down_trend_less_than_half_of_big_volume_bar
0,SPY,False,False,False,False,False
1,QQQ,False,False,False,False,False
2,^VIX,False,False,False,False,False
3,ADBE,False,False,False,False,False
4,AMD,False,False,False,False,False
5,ABNB,False,False,False,False,False
6,ALNY,False,False,False,False,False
7,GOOGL,False,False,False,False,False
8,GOOG,False,False,False,False,False
9,AMZN,False,False,False,False,False
10,AEP,True,False,False,False,False
11,AMGN,False,False,False,False,False
12,ADI,False,False,False,False,False
13,AAPL,False,False,False,False,False
14,AMAT,False,False,False,False,False
15,APP,False,False,False,False,False
16,ARM,False,False,False,False,False
17,ASML,False,False,False,False,False
18,AZN,False,False,False,False,False
19,TEAM,False,False,False,False,False
20,ADSK,False,False,False,False,False
21,ADP,False,False,False,False,False
22,AXON,False,False,False,False,False
23,BKR,False,False,False,False,False
24,BKNG,False,False,False,False,False
25,AVGO,False,False,False,False,False
26,CDNS,False,False,False,False,False
27,CHTR,False,False,False,False,False
28,CTAS,False,False,False,False,False
29,CSCO,False,False,False,False,False
30,CCEP,False,False,False,False,False
31,CTSH,False,False,False,False,False
32,CMCSA,False,False,False,False,False
33,CEG,False,False,False,False,False
34,CPRT,True,False,False,False,False
35,CSGP,False,False,False,False,False
36,COST,False,False,False,False,False
37,CRWD,False,False,False,False,False
38,CSX,False,False,False,False,False
39,DDOG,False,False,False,False,False
40,DXCM,False,False,False,False,False
41,FANG,False,False,False,False,False
42,DASH,False,False,False,False,False
43,EA,False,False,False,False,False
44,EXC,False,False,False,False,False
45,FAST,False,False,False,False,False
46,FER,False,False,False,False,False
47,FTNT,False,False,False,False,False
48,GEHC,False,False,False,False,False
49,GILD,False,False,False,False,False
50,HON,False,False,False,False,False
51,IDXX,False,False,False,False,False
52,INSM,False,False,False,False,False
53,INTC,False,False,False,False,False
54,INTU,False,False,False,False,False
55,ISRG,False,False,False,False,False
56,KDP,False,False,False,False,False
57,KLAC,False,False,False,False,False
58,KHC,True,False,False,False,False
59,LRCX,False,False,False,False,False
60,LIN,False,False,False,False,False
61,MAR,False,False,False,False,False
62,MRVL,False,False,False,False,False
63,MELI,False,False,False,False,False
64,META,False,False,False,False,False
65,MCHP,False,False,False,False,False
66,MU,False,False,False,False,False
67,MSFT,False,False,False,False,False
68,MSTR,False,False,False,False,False
69,MDLZ,False,False,False,False,False
70,MPWR,False,False,False,False,False
71,MNST,False,False,False,False,False
72,NFLX,False,False,False,False,False
73,NVDA,False,False,False,False,False
74,NXPI,False,False,False,False,False
75,ORLY,False,False,False,False,False
76,ODFL,False,False,False,False,False
77,PCAR,False,False,False,False,False
78,PLTR,False,False,False,False,False
79,PANW,False,False,False,False,False
80,PAYX,False,False,False,False,False
81,PYPL,False,False,False,False,False
82,PDD,False,False,False,False,False
83,PEP,True,False,False,False,False
84,QCOM,False,False,False,False,False
85,REGN,False,False,False,False,False
86,ROP,False,False,False,False,False
87,ROST,False,False,False,False,False
88,STX,False,False,False,False,False
89,SHOP,False,False,False,False,False
90,SBUX,False,False,False,False,False
91,SNPS,False,False,False,False,False
92,TMUS,False,False,False,False,False
93,TTWO,False,False,False,False,False
94,TSLA,False,False,False,False,False
95,TXN,False,False,False,False,False
96,TRI,False,False,False,False,False
97,VRSK,False,False,False,False,False
98,VRTX,False,False,False,False,False
99,WBD,False,False,False,False,False
100,WDC,False,False,False,False,False
101,WDAY,False,False,False,False,False
102,XEL,True,False,False,False,False
103,ZS,False,False,False,False,False
104,MMM,False,False,False,False,False
105,AOS,False,False,False,False,False
106,ABT,False,False,False,False,False
107,ABBV,False,False,False,False,False
108,ACN,False,False,False,False,False
109,AES,False,False,False,False,False
110,AFL,False,False,False,False,False
111,A,False,False,False,False,False
112,APD,False,False,False,False,False
113,AKAM,False,False,False,False,False
114,ALB,False,False,False,False,False
115,ARE,False,False,False,False,False
116,ALGN,False,False,False,False,False
117,ALLE,False,False,False,False,False
118,LNT,False,False,False,False,False
119,ALL,False,False,False,False,False
120,MO,False,False,False,False,False
121,AMCR,False,False,False,False,False
122,AEE,False,False,False,False,False
123,AXP,False,False,False,False,False
124,AIG,False,False,False,False,False
125,AMT,False,False,False,False,False
126,AWK,False,False,False,False,False
127,AMP,False,False,False,False,False
128,AME,False,False,False,False,False
129,APH,False,False,False,False,False
130,AON,False,False,False,False,False
131,APA,False,False,False,False,False
132,APO,False,False,False,False,False
133,APTV,False,False,False,False,False
134,ACGL,False,False,False,False,False
135,ADM,False,False,False,False,False
136,ARES,False,False,False,False,False
137,ANET,False,False,False,False,False
