ticker,trade_date,trade_price,stop_loss_price,breakout_price,almost_up_cond_date,move_ratio,duplicate_count
MLM,2024-02-08,518.9102,492.0229,514.4502,2024-02-01,0.2614,1
KR,2024-02-16,45.2973,43.5447,44.9995,2024-02-01,0.226,1
GDDY,2024-02-26,115.0,109.0135,113.7,2024-02-13,0.1668,1
RL,2024-05-28,170.2597,157.9575,166.6999,2024-05-23,0.1773,1
VRSK,2024-07-30,282.2773,269.6856,279.514,2024-07-26,0.2915,1
ICE,2024-08-09,151.1458,146.0654,149.1696,2024-08-01,0.2954,1
FISV,2024-10-24,202.52,191.1598,198.86,2024-10-22,0.0952,1
KR,2024-12-12,61.9613,57.4221,59.9619,2024-12-05,0.2216,1
JCI,2025-07-24,109.43,105.4676,109.4,2025-07-22,0.3884,1
MCO,2025-07-25,510.9809,488.6967,506.6374,2025-07-23,0.0392,1
LH,2025-09-30,284.1199,269.6841,281.9848,2025-09-11,0.3241,1
FDX,2025-12-23,293.0,273.3544,286.9691,2025-12-19,0.1174,1
CMCSA,2026-02-02,29.62,27.8685,29.5,2026-01-29,0.1896,1
CB,2026-02-05,330.0,307.1904,315.08,2026-01-05,0.0138,1
